ID,Code,prompt,PromptType
90fb6207-b70f-4f92-bedf-266d454d6eca,"public boolean xyzThere(String str) {
    for (int i = 0; i < str.length() - 2; i++) {
        if (str.charAt(i) == 'x' && str.startsWith(""xyz"", i + 1)) {
            if (i == 0 || str.charAt(i - 1) != '.') {
                return true;
            }
        }
    }
    return false;
}","Write a function in Java that returns true if the given string str contains an occurrence of the substring ""xyz"" where ""xyz"" is not directly preceded by a period ("".""). For example, ""xxyz"" counts, while ""x.xyz"" does not.
public boolean xyzThere(String str)
{
    
}",1
01eb8b59-ccab-4b5f-ade8-5acd36341e4f,"public int sortaSum(int a, int b) {
    int sum = a + b;
    
    if (sum >= 10 && sum <= 19) {
        return 20;
    } else {
        return sum;
    }
}","Write a Java function to implement the following logic: Given two integers a and b, return their sum. However, if the sum is between 10 and 19 (inclusive), return 20.  public int sortaSum(int a, int b)
{
    
}",6
e7622de6-cb10-4e0a-9cfe-9c87160f9034,"public int sum13(int[] nums) {
    int sum = 0;
    for (int i = 0; i < nums.length; i++) {
        if (nums[i] == 13) {
            i++;
        } else {
            sum += nums[i];
        }
    }
    return sum;
}","Solve this ""
Write a function in Java that takes an array and returns the sum of the numbers in the array, or 0 if the array is empty. Except the number 13 is very unlucky, so it does not count any 13, or any number that immediately follows a 13.
public int sum13(int[] nums)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
fe7d4f25-6f4f-45c6-8db5-db5470606c7a,"public int[] fix45(int[] nums) {
  int i = 0;
  while (i < nums.length && nums[i] != 4)
    i++;
      
  int j = i + 1;
  while (j < nums.length && (nums[j] != 5 || (j > 0 && nums[j - 1] == 4)))
    j++;
      
  while (i < nums.length) {
    if (nums[i] == 4 && nums[i + 1] != 5) {
      int temp = nums[i + 1];
      nums[i + 1] = nums[j];
      nums[j] = temp;
          
      while ((j < nums.length && nums[j] != 5) || (j > 0 && nums[j - 1] == 4))
        j++;
    }
    i++;
  }
      
  return nums;
}","Solve this ""
Given an array, return an array that contains exactly the same numbers as the original array, but rearranged so that every 4 is immediately followed by a 5. Do not move the 4's, but every other number may move. The array contains the same number of 4's and 5's, and every 4 has a number after it that is not a 4. In this version, 5's may appear anywhere in the original array. (This is a slightly harder version of the fix34 problem.)
public int[] fix45(int[] nums)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
c2ae74c8-d531-4c77-8373-b1c2193ffaf9,"public int[] fix45(int[] nums) {
    int index5 = 0;

    for (int i = 0; i < nums.length - 1; i++) {
        if (nums[i] == 4 && nums[i + 1] != 5) {
            while (nums[index5] != 5 || (index5 > 0 && nums[index5 - 1] == 4)) {
                index5++;
            }
            nums[index5] = nums[i + 1];
            nums[i + 1] = 5;
        }
    }

    return nums;
}","Given an array, return an array that contains exactly the same numbers as the original array, but rearranged so that every 4 is immediately followed by a 5. Do not move the 4's, but every other number may move. The array contains the same number of 4's and 5's, and every 4 has a number after it that is not a 4. In this version, 5's may appear anywhere in the original array. (This is a slightly harder version of the fix34 problem.)
public int[] fix45(int[] nums)
{
    
}",1
150235db-6cf1-4c76-b4a3-f8a115cccf1b,"public int[] tenRun(int[] nums) {
    int target = -1;
  
    for (int i = 0; i < nums.length; i++) {
        if (nums[i] % 10 == 0) {
            target = nums[i];
        } else if (target != -1) {
            nums[i] = target;
        }
    }
  
    return nums;
}","Solve this coding assignment ""
For each multiple of 10 in the given array, change all the values following it to be that multiple of 10, until encountering another multiple of 10. So {2, 10, 3, 4, 20, 5} yields {2, 10, 10, 10, 20, 20}.
public int[] tenRun(int[] nums)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019.",2
b982a07f-8157-4f64-8945-db41249d9d98,"public boolean xyzThere(String str) {
    if (str.contains(""xyz"")) {
        for (int i = 0; i < str.length() - 2; i++) {
            if (str.charAt(i) != '.' && str.substring(i + 1, i + 4).equals(""xyz"")) {
                return true;
            }
        }
    }
    return false;
}","Solve this coding assignment ""
Write a function in Java that returns true if the given string str contains an occurrence of the substring ""xyz"" where ""xyz"" is not directly preceded by a period ("".""). For example, ""xxyz"" counts, while ""x.xyz"" does not.
public boolean xyzThere(String str)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019.",2
09f39a26-e17f-4a93-8b88-1cea25b4a77a,"public int sortaSum(int a, int b) {
    int sum = a + b;
    
    if (sum >= 10 && sum <= 19) {
        return 20;
    } else {
        return sum;
    }
}","as a cs1 student you are trying to solve this assignment, how would you solve it
Write a function in Java that implements the following logic: Given 2 ints, a and b, return their sum. However, sums in the range 10..19 inclusive, are forbidden, so in that case just return 20.  
public int sortaSum(int a, int b)
{
    
}",3
52d97a59-40d0-46e8-98ed-d1c336f4ce38,"public int[] fix45(int[] nums) {
    int i = 0;
    while (i < nums.length && nums[i] != 4) {
        i++;
    }

    int j = 0;
    while (j < nums.length) {
        if (nums[j] == 5 && (j == 0 || nums[j - 1] != 4)) {
            break;
        }
        j++;
    }

    while (i < nums.length && j < nums.length) {
        if (nums[i] == 4 && nums[j] == 5 && (j == 0 || nums[j - 1] != 4)) {
            int temp = nums[i + 1];
            nums[i + 1] = nums[j];
            nums[j] = temp;
            i++;
            j++;
        } else {
            if (nums[i] != 4) {
                i++;
            }
            if (nums[j] != 5 || (j > 0 && nums[j - 1] == 4)) {
                j++;
            }
        }
    }

    return nums;
}","Given an array, return an array containing exactly the same numbers as the original array but rearranged so that each 4 is immediately followed by a 5. The 4s cannot be moved, but other numbers can be rearranged. The number of 4s and 5s in the array are equal, and each 4 is followed by a number that is not another 4. In this version, the 5s can appear anywhere in the original array. (This is a slightly harder version of the fix34 problem.)

public int[] fix45(int[] nums)
{
    
}",6
47840af2-d7a9-41b3-a035-e4ac0cdd5045,"public boolean xyzThere(String str) {
    for (int i = 0; i < str.length() - 2; i++) {
        if (str.charAt(i) != '.' && str.substring(i, i + 3).equals(""xyz"")) {
            return true;
        }
    }
    if (str.length() >= 3 && str.substring(str.length() - 3).equals(""xyz"")) {
        return true;
    }
    return false;
}","as a cs1 student you are trying to solve this assignment, how would you solve it
Write a function in Java that returns true if the given string str contains an occurrence of the substring ""xyz"" where ""xyz"" is not directly preceded by a period ("".""). For example, ""xxyz"" counts, while ""x.xyz"" does not.
public boolean xyzThere(String str)
{
    
}",3
