feature,avg_importance
 = ,5.2358268520204385
: ,4.353648786756269
 =,3.529791570268082
", ",3.4566999520183828
 (,3.382992433383829
 } ,3.358223975131889
ex,3.2729358090501104
 },2.987595788651518
um ,2.984153597484066
0) ,2.96087152696532
} ,2.9420009920986643
 { ,2.8992148394272625
un,2.749202647049005
0),2.6621262172505187
 {,2.6599610278941315
(c,2.6476741067520106
) ,2.643383007653867
{ ,2.620765246747026
f(,2.572164462993066
 is,2.5691392801257518
 n; ,2.543951237321031
/ ,2.523288771715399
if(,2.5209404034203606
 if(,2.5193818843930016
ul,2.5134072080559404
 n;,2.4193913272160503
b.,2.4088363935259087
 == ,2.404507419489977
 // ,2.369492717204411
// ,2.369492717204411
 if,2.3361775551289723
num ,2.331277995297401
ed,2.2484167466621634
== ,2.2161535752849506
m ,2.198878948137837
mi,2.1885671272342435
as,2.175729923569091
 ==,2.1536038632978824
 2,2.1511549137294375
 -,2.123175760583335
ys,2.1209951937783647
n ,2.1179833701129525
 2),2.1082282478111294
)),2.1034613476786497
rs,2.0805722139932117
if,2.0501547902430213
1),2.0483214523904385
[j,2.0090077611437875
 x,1.9979384797422794
)) ,1.9915550267730489
 - ,1.984494542684803
 c) ,1.9280075699752044
- ,1.923873122709392
 s,1.9008330284150388
 (a ,1.895070336487209
 i++) ,1.8738672834660968
s(,1.8709074988520413
 int ,1.865569097940152
];,1.858094901484787
er ,1.856724949224875
bs,1.8399712180392207
]; ,1.8345055501014582
 nums,1.8333658546662022
ig,1.8287307300807745
iz,1.8081176721385488
; ,1.7890588480551464
 i++),1.7579804715320435
+ ,1.750029771351445
i+,1.734511265088186
 str.s,1.7274619627451167
 temp,1.6959900332298705
 tem,1.6959900332298705
 ',1.6922774405362313
xt,1.6501833730856568
 10,1.6233271950988575
tru,1.58541390632005
if ,1.5744712047054992
 1,1.5738262002945844
e),1.5677283277456868
xo,1.5660829438320079
 int,1.562437902795857
rat(i,1.543547058469114
at(i,1.543547058469114
arat(i,1.543547058469114
gth() ,1.5411522015903565
ult,1.5387268338343538
 i,1.5159228986471733
int ,1.5090254244703987
true,1.5065767175852902
rue,1.5065767175852902
 (nums,1.5061350461555096
th() ,1.502027462620931
h() ,1.502027462620931
ars,1.4897442623340786
 n,1.4821427338354247
 in,1.472398270102965
 if ,1.468728842962356
ni,1.4554523784360422
ne,1.4520561588089667
rn ,1.450967098821426
 (i ,1.449509495768133
f ,1.428696781985788
p ,1.4252219287871806
mat,1.402103150501853
lt,1.3861832140726493
ma,1.3805640656420268
 tr,1.3800301917460573
.a,1.3662749612262042
 ma,1.362302744941577
c),1.3619431028033002
turn ,1.351810312669326
eturn ,1.351810312669326
urn ,1.3515850329080965
s ,1.3511261631019285
 +,1.3453120017985243
ndex,1.3439123982769716
index,1.3439123982769716
(); ,1.329810665476785
 0;,1.3286103681476096
 str,1.3257477230444974
= ,1.3248673306513559
() ,1.3224828758030962
we,1.3156780162695452
""")",1.3115846965424056
nt ,1.3109189778080959
sum ,1.3031338845964746
l),1.2935481558057398
 += ,1.2916059325727858
it,1.2884386258479426
dex,1.287136178581762
(nums[,1.2858654805466327
 tru,1.2827017106560072
ue,1.27340363476379
(n,1.263680619759978
();,1.259859263169989
 true,1.249345520670643
"a, ",1.245646334838836
"a,",1.245646334838836
 !,1.2437597829652471
tr,1.2430910241081417
n(,1.2312372137640957
ft,1.228351263432152
ee,1.2047853680138187
val,1.2011403616974774
 (i,1.1922448031601884
 0; ,1.1897842752471894
 t,1.1783315127460914
 + ,1.1766649110276686
 str.,1.173364817666525
ala,1.1689411078716403
i++) ,1.1673974621333885
ast,1.1657946647304906
+= ,1.1649096936610757
 fi,1.164014543651359
 % ,1.1558654621202447
% ,1.1558654621202447
 7,1.1539740924673865
 the ,1.1539580432099314
the ,1.1513102962243287
he ,1.1495581555290673
rs ,1.1445730507409322
dd,1.143534573646804
b;,1.1432266340036787
ke,1.1428221597211208
 1],1.1378271849871147
ll,1.133479842213511
fiz,1.1200958772375582
bu,1.1151158287618381
last,1.1148780098947273
da,1.1119695419622402
rou,1.1082146177063834
x ,1.1072048576650932
is,1.106785023399688
count,1.1040365222162467
cou,1.1040365222162467
coun,1.1040365222162467
w ,1.0990033157224155
 %,1.0984599851209902
 +=,1.0970187717116393
nte,1.0967381139505188
(i ,1.0954766875986837
s[,1.0919379526272244
i++),1.0858761004874862
 g,1.0736285008803952
 te,1.0720434084352086
 != ,1.0713633975066061
(is,1.0691465993395486
la,1.0684345884836404
 <= ,1.0651783118577236
 nu,1.0556494729102992
wer,1.0534026467725577
new ,1.0501736283031367
ew ,1.0501736283031367
ay ,1.0444229378073926
las,1.0423236890650576
int,1.0404092759757972
(a ,1.0400665770550996
 new ,1.0374637604171388
 1),1.0365566900850391
 res,1.034393423859156
21,1.03089854609257
id,1.0283177892700128
ru,1.0234860723272692
lt ,1.0230535218298067
ult ,1.0230535218298067
he,1.0222296827322341
 resu,1.0147078987392666
 resul,1.0147078987392666
 < ,0.9981594831227891
2) ,0.9975670067306333
(nums,0.9934311965620997
ste,0.9872570496220113
end,0.9670155501423416
[i ,0.9657517072813357
ir,0.9607755691819464
else,0.9599020864361827
els,0.9599020864361827
er,0.954560980948445
b),0.9523405786828102
(),0.9510270205183986
ge,0.9489091936447633
ix,0.9471600249013841
si,0.9430661484512165
<=,0.9418880978025238
 w,0.9400642872064717
sma,0.9371907152264418
esult ,0.9287068122870141
sult ,0.9287068122870141
13,0.9256977821532715
<= ,0.9236352019604165
 n ,0.9235015807427891
 retur,0.9163348059635732
 c,0.908403367475876
 3,0.907443571193292
fi,0.9043815443252983
 >= ,0.9003834525030674
cl,0.8968833210113589
 nums[,0.8966843681064443
el,0.8961076710175921
ui,0.891863081080633
rt,0.8909415337312692
 retu,0.8851509884522898
 the,0.8811713955672836
.c,0.8790927743309962
se,0.8734452860437529
ppe,0.8708718942006137
2),0.8698028380138179
t ,0.8686762716243464
>= ,0.868495484062513
t.,0.8645423229358027
 arr,0.8628882997767069
true;,0.8624117055255347
rue;,0.8624117055255347
 ret,0.855845441975878
resul,0.8495040774664724
esult,0.8495040774664724
sul,0.8495040774664724
sult,0.8495040774664724
esul,0.8495040774664724
result,0.8495040774664724
resu,0.8495040774664724
art,0.8475172346983206
sm,0.8458788131785613
at,0.8415763142037611
ati,0.8412207864663276
1 ,0.8396589886556641
all,0.8352625263054319
 j,0.8351395644859474
< ,0.8348385169804926
-1,0.8194708836914213
max,0.8153305576093421
ax,0.8147078653306317
een,0.8140525556773848
 true;,0.8133060724450252
ount,0.8104524597097571
ue;,0.804433828988421
st ,0.7994528897693933
rn,0.7981867594103939
arr,0.7974949637837612
pp,0.7967241389021184
 (n,0.7950114611335066
 val,0.7948243162719124
xy,0.7889877938865129
at(i),0.78892364354702
rat(i),0.78892364354702
nums.,0.786941233650003
ums.,0.786941233650003
ms.,0.786941233650003
 d,0.7835069883738754
rat,0.7812188443075794
bre,0.778557320698728
brea,0.778557320698728
 &,0.7783200114075659
rr,0.7745647821168462
e;,0.7730979516986587
tic,0.7728835634897887
 sum ,0.7703315909626566
esu,0.7671987332745159
[i],0.7667528334348233
true; ,0.7657105963320254
rue; ,0.7657105963320254
 nums.,0.7656392823739011
 for(,0.7655521262363993
for(,0.7655521262363993
ha,0.7650929098841808
e ,0.7596865860747068
bi,0.7526675208276787
 r,0.7520012668902869
ls,0.7515820636642894
(str.,0.7504360418094522
 i++,0.7502536853740646
unt,0.7459855826255343
 || ,0.742452272529893
 re,0.7380220232285477
alse; ,0.7358428813606932
len,0.7357296388636986
ns,0.7282803699797533
or(,0.726398417672059
br,0.7226816423333738
ts,0.7182406971259593
ed ,0.7176342172117555
 m,0.7138196134115825
lse; ,0.7105393258943886
o ,0.7084463426703194
6),0.70820830405842
 ar,0.7081643079257137
no,0.7051897304190851
(s,0.7041491416674004
lu,0.7039680443907803
ur,0.703602055437883
ppen,0.7028018729980225
ppend,0.7028018729980225
append,0.7028018729980225
appen,0.7028018729980225
pen,0.702056484524185
pend,0.702056484524185
se; ,0.7004956122752763
ue; ,0.6970512210116093
n; ,0.6968581994383651
1],0.6943771578546255
+=,0.6922125735051239
!= ,0.6921241240164364
lse,0.6901495501289379
count ,0.687623903558733
 end,0.6807634746629186
 |,0.6769215823707102
 ||,0.6769215823707102
zz,0.6705645165346394
 le,0.6688717991663907
