ID,Code,Prompt
e69abbbf-d900-4a9d-a99f-0a4258fbb4f5,"public int greenTicket(int a, int b, int c) {
    if (a == b && b == c) return 20;
    if (a == b || b == c || a == c) return 10;
    return 0;
}","Solve this coding assignment ""
You have a green lottery ticket, with ints a, b, and c on it. If the numbers are all different from each other, the result is 0. If all of the numbers are the same, the result is 20. If two of the numbers are the same, the result is 10.
public int greenTicket(int a, int b, int c)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019."
21c57b94-8b41-4acf-b9e1-dfc92f479282,"public boolean xyzThere(String str) {
    int strLength = str.length();
    for (int i = 2; i < strLength; i++) {
        if (str.charAt(i - 2) != '.' && str.substring(i - 2, i + 3).equals(""xyz"")) {
            return true;
        }
    }
    return false;
}","Write a Java function that checks whether the substring ""xyz"" appears in a given string str, with the condition that ""xyz"" should not be immediately preceded by a period ""."". If the condition is met, return true; otherwise, return false.

For example, ""xxyz"" should return true, while ""x.xyz"" should return false.

public boolean xyzThere(String str)
{
    
}"
5d6932a3-ed36-4513-8831-5851605dfb41,"public boolean xyzThere(String str) {
    int n = str.length();

    for(int i = 2; i <= n; i++) {
        if(str.substring(i - 2, i).equals(""xyz"")) {
            if (i == 2 || str.charAt(i - 3) != '.') {
                return true;
            }
        }
    }

    return false;
}","as a cs1 student you are trying to solve this assignment, how would you solve it
Write a function in Java that returns true if the given string str contains an occurrence of the substring ""xyz"" where ""xyz"" is not directly preceded by a period ("".""). For example, ""xxyz"" counts, while ""x.xyz"" does not.
public boolean xyzThere(String str)
{
    
}"
8fd6105e-9e16-4b7f-b061-81f5684f2975,"public boolean xyzThere(String str) {
    int n = str.length();
    for(int i=0; i<=n-3; i++) {
        if(i == 0 || str.charAt(i-1) != '.') {
            if(str.substring(i, i+3).equals(""xyz"")) {
                return true;
            }
        }
    }
    return false;
}","Write a function in Java that returns true if the given string str contains an occurrence of the substring ""xyz"" where ""xyz"" is not directly preceded by a period ("".""). For example, ""xxyz"" counts, while ""x.xyz"" does not.
public boolean xyzThere(String str)
{
    
}"
269b1765-57f5-489a-b0c8-4f76c21baeb2,"public int blackjack(int a, int b) {
    if (a > 21 && b > 21) {
        return 0;
    } else if (a > 21) {
        return b;
    } else if (b > 21) {
        return a;
    } else {
        return Math.max(a, b);
    }
}

public static void main(String[] args) {
    int a = 20;
    int b = 22;
    int result = blackjack(a, b);
    System.out.println(""The result is: "" + result);
}

The result is: 20","as a cs1 student you are trying to solve this assignment, how would you solve it
Write a function in Java that implements the following logic: Given 2 int values greater than 0, return whichever value is nearest to 21 without going over. Return 0 if they both go over.
public int blackjack(int a, int b)
{
    
}"
5a09f9d9-c39e-4a6b-ad7f-14d8fb93410d,"public int noTeenSum(int a, int b, int c) {
    a = fixTeen(a);
    b = fixTeen(b);
    c = fixTeen(c);
    return a + b + c;
}

public int fixTeen(int n) {
    if (n >= 13 && n <= 19) {
        if (n != 15 && n != 16) {
            return 0;
        }
    }
    return n;
}","as a cs1 student you are trying to solve this assignment, how would you solve it
Write two methods in Java that implements the following logic: Given 3 int values, a, b, and c, return their sum. However, if any of the values is a teen--in the range 13..19 inclusive--then that value counts as 0, except 15 and 16 do not count as teens. Write a separate helper method called fixTeen() that takes in an int value and returns that value fixed for the teen rule. In this way you avoid repeating the teen code 3 times (i.e. ""decomposition"").
public int noTeenSum(int a, int b, int c)
{

}

public int fixTeen(int n)
{
    
}"
1a3f6622-26a8-4868-8e49-ccb013a0b14f,"public int sum3(int[] nums) {
    int sum = 0;
    
    for (int i = 0; i < nums.length; i++) {
        sum += nums[i];
    }
    
    return sum;
}

public int sum3(int[] nums) {
    if (nums.length == 0) {
        return 0;
    }
    
    int sum = 0;
    
    for (int i = 0; i < nums.length; i++) {
        sum += nums[i];
    }
    
    return sum;
}","as a cs1 student you are trying to solve this assignment, how would you solve it
Given an array containing three ints, return the sum of all the elements.
public int sum3(int[] nums)
{
    
}"
4a295af0-7654-47bb-8eb4-83ea1d9db28f,"public int redTicket(int a, int b, int c) {
    if (a == 2 && b == 2 && c == 2) 
        return 10;
    else if (a == b && b == c) 
        return 5;
    else if (a != b && a != c) 
        return 1;
    return 0;
}","Solve this ""
Write a function in Java that implements the following logic: You have a red lottery ticket showing ints a, b, and c, each of which is 0, 1, or 2. If they are all the value 2, the result is 10. Otherwise if they are all the same, the result is 5. Otherwise so long as both b and c are different from a, the result is 1. Otherwise the result is 0.
public int redTicket(int a, int b, int c)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution."
79be032e-5162-4ed7-94df-ac6cf83d3ec1,"public int luckySum(int a, int b, int c) {
    int sum = 0;
    for (int i = 0; i < 3; i++) {
        int value = i == 0 ? a : (i == 1 ? b : c);
        if (value == 13) {
            break;
        } else {
            sum += value;
        }
    }
    return sum;
}","as a cs1 student you are trying to solve this assignment, how would you solve it
Write a function in Java that implements the following logic: Given 3 int values, a, b, and c, return their sum. However, if one of the values is 13 then it does not count towards the sum and values to its right do not count. So for example, if b is 13, then both b and c do not count.
public int luckySum(int a, int b, int c)
{
    
}"
1d83e639-5b9b-4e1b-8469-da092b1897ae,"public int[] tenRun(int[] nums) {
    int currentMultiple = 1;
    for (int i = 0; i < nums.length; i++) {
        if (nums[i] % 10 == 0) {
            currentMultiple = nums[i];
        } else {
            nums[i] = currentMultiple;
        }
    }
    return nums;
}","Solve this coding assignment ""
For each multiple of 10 in the given array, change all the values following it to be that multiple of 10, until encountering another multiple of 10. So {2, 10, 3, 4, 20, 5} yields {2, 10, 10, 10, 20, 20}.
public int[] tenRun(int[] nums)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019."
