ID,Code,Prompt
5179c977-3830-4733-9868-36c9e4e69536,"public int roundSum(int a, int b, int c) {
    return round10(a) + round10(b) + round10(c);
}

public int round10(int num) {
    int lastDigit = num % 10;
    if (lastDigit >= 5)
        num = num - lastDigit + 10;
    else
        num = num - lastDigit;
    return num;
}","For this problem, if the rightmost digit of an integer is 5 or greater, we round it up to the next multiple of 10. For example, 15 rounds to 20. Conversely, if the rightmost digit is less than 5, we round it down to the previous multiple of 10, such as 12 rounding to 10.

Given three integers a, b, and c, return the sum of their rounded values. To avoid code duplication, write a separate helper method public int round10(int num), and call it three times.

Make sure to define this helper method directly below roundSum(), maintaining the same indentation level as roundSum().

public int roundSum(int a, int b, int c)
{
    
}

public int round10(int num)
{
    
}"
5f1ff75c-9739-47d4-8d2f-a8c4735c2091,"public int makeChocolate(int small, int big, int goal) {
    if (big * 5 >= goal) {
        if ((goal % 5) <= small) {
            return goal % 5;
        } else {
            return -1;
        }
    } else {
        int remainder = goal - (big * 5);
        if (remainder <= small) {
            return remainder;
        } else {
            return -1;
        }
    }
}","Solve this ""
We want make a package of goal kilos of chocolate. We have small bars (1 kilo each) and big bars (5 kilos each). Return the number of small bars to use, assuming we always use big bars before small bars. Return -1 if it can't be done.
public int makeChocolate(int small, int big, int goal)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution."
57fbb950-ddfb-416a-b068-76ce44bfa93d,"public int countClumps(int[] nums) {
    int count = 0;
    int current = nums[0];
    for (int i = 1; i < nums.length; i++) {
        if (nums[i] == current) {
            if (i == nums.length - 1 || nums[i] != nums[i+1]) {
                count++;
            }
        } else {
            current = nums[i];
        }
    }
    return count;
}","Solve this coding assignment ""
Say that a ""clump"" in an array is a series of 2 or more adjacent elements of the same value. Return the number of clumps in the given array.
public int countClumps(int[] nums)
{
    
}

""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019."
0040f40b-975e-4973-aae2-4030a07c14da,"public int dateFashion(int you, int date) {
    if ((you >= 8 && date >= 8) || (you >= 2 && date >= 2)) {
        return 2;
    } else if (you <= 2 || date <= 2) {
        return 0;
    } else {
        return 1;
    }
}","You are tasked with implementing a method in Java called dateFashion that determines the chances of getting a table at a restaurant based on the stylishness of you and your date. The method takes two integer parameters, you and date, which represent the stylishness of your clothes and your date's clothes, respectively. The stylishness values range from 0 to 10.

The method should return an integer value representing the chances of getting a table, encoded as follows:

0 = no chance

1 = maybe

2 = yes

The rules for determining the result are as follows:

If either you or your date has a stylishness of 8 or more, the result is 2 (yes), unless:

Either you or your date has a stylishness of 2 or less, in which case the result is 0 (no).

If neither of the above conditions is met, the result is 1 (maybe).

Write the implementation of the dateFashion method in Java. Ensure the method handles all edge cases and adheres to the rules provided.

Example Method Signature:

java
Copy
public int dateFashion(int you, int date) {
    // Your implementation here
}
Examples:

dateFashion(5, 10) should return 2 (yes, because the date's stylishness is 8 or more).

dateFashion(5, 2) should return 0 (no, because the date's stylishness is 2 or less).

dateFashion(5, 5) should return 1 (maybe, because neither condition is met)."
e30b25ff-5c31-4408-9f1f-a2310f99defc,"public int[] fix45(int[] nums) {
    int n = nums.length;
    int[] temp = new int[n];
    int j = 0;
    for (int i = 0; i < n; i++) {
        if (nums[i] == 4) {
            temp[j] = nums[i];
            j++;
            temp[j] = 5;
            j++;
        } else {
            temp[j] = nums[i];
            j++;
        }
    }
    return temp;
}","Solve this coding assignment ""
Given an array, return an array that contains exactly the same numbers as the original array, but rearranged so that every 4 is immediately followed by a 5. Do not move the 4's, but every other number may move. The array contains the same number of 4's and 5's, and every 4 has a number after it that is not a 4. In this version, 5's may appear anywhere in the original array. (This is a slightly harder version of the fix34 problem.)
public int[] fix45(int[] nums)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019."
79a0f6b9-f07a-445d-aaba-84d12b75c239,"public int[] frontPiece(int[] nums) {
    return nums.length > 1 ? new int[]{nums[0], nums[1]} : new int[]{nums[0]};
}","Solve this ""
Given an int array of any length, return a new array of its first 2 elements. If the array is smaller than length 2, use whatever elements are present.
public int[] frontPiece(int[] nums)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution."
3309c9bd-91fa-4fdb-b501-98ccde18726a,"public boolean evenlySpaced(int a, int b, int c) {
    // Find the minimum, middle and maximum value
    if (a <= b && a <= c) {
        if (b <= c) {
            // a is minimum, b is middle, c is maximum
            return (b - a) == (c - b);
        } else {
            // a is minimum, c is middle, b is maximum
            return (c - a) == (b - c);
        }
    } else if (b <= a && b <= c) {
        if (a <= c) {
            // b is minimum, a is middle, c is maximum
            return (a - b) == (c - a);
        } else {
            // b is minimum, c is middle, a is maximum
            return (c - b) == (a - c);
        }
    } else {
        if (a <= b) {
            // c is minimum, a is middle, b is maximum
            return (a - c) == (b - a);
        } else {
            // c is minimum, b is middle, a is maximum
            return (b - c) == (a - b);
        }
    }
}","as a cs1 student you are trying to solve this assignment, how would you solve it
Write a function in Java that implements the following logic: Given three ints, a, b, and c, one of them is small, one is medium and one is large. Return true if the three values are evenly spaced, so the difference between small and medium is the same as the difference between medium and large.
public boolean evenlySpaced(int a, int b, int c)
{
    
}"
096329b4-1cf0-4fe9-a453-1719db3e36ff,"public int luckySum(int a, int b, int c) {
    int sum = 0;

    // Check if 'a' is 13 and return 0 if true
    if (a != 13) {
        sum += a;
    } else {
        return 0;
    }

    // Check if 'b' is 13 and return sum if true
    if (b != 13) {
        sum += b;
    } else {
        return sum;
    }

    // Check if 'c' is 13 and return sum if true
    if (c != 13) {
        sum += c;
    } else {
        return sum;
    }

    return sum;
}","""Write a Java function named luckySum that takes three integer parameters: a, b, and c. The function should return the sum of these three values, but with the following special rule: if any of the values is 13, that value and all values to its right do not count toward the sum.

For example:

If a is 13, the function should return 0 because a, b, and c do not count.

If b is 13, the function should return the value of a because b and c do not count.

If c is 13, the function should return the sum of a and b because c does not count.

If none of the values are 13, the function should return the sum of a, b, and c.

Write the complete function implementation in Java, including the method signature and logic to handle the special rule. Use conditional statements to check for the value 13 and exclude the appropriate values from the sum."""
b0b77091-ac25-49dd-9ce1-53fa0d3dd4c0,"public String alarmClock(int day, boolean vacation) {
    if (vacation) {
        if (day < 5) {
            return ""10:00"";
        } else {
            return ""off"";
        }
    } else {
        if (day < 5) {
            return ""7:00"";
        } else {
            return ""10:00"";
        }
    }
}","Given a day of the week encoded as 0 = Sun, 1 = Mon, 2 = Tue, ... 6 = Sat, and a boolean indicating if we are on vacation, return a string of the form ""7:00"" indicating when the alarm clock should ring. Weekdays, the alarm should be ""7:00"" and on the weekend it should be ""10:00"". Unless we are on vacation--then on weekdays it should be ""10:00"" and weekends it should be ""off"".
public String alarmClock(int day, boolean vacation)
{
    
}"
cc6666e8-bda0-4c75-ab74-523f21ac2d16,"public int[] shiftLeft(int[] nums) {
    int temp = nums[0];
    for (int i = 0; i < nums.length - 1; i++) {
        nums[i] = nums[i + 1];
    }
    nums[nums.length - 1] = temp;
    return nums;
}

public int[] shiftLeft(int[] nums) {
    int[] newArray = new int[nums.length];
    for (int i = 0; i < nums.length; i++) {
        newArray[i] = nums[(i + 1) % nums.length];
    }
    return newArray;
}","Return an array that is ""shifted"" one position to the left. Thus, for the input {6, 2, 5, 3}, the method should return {2, 5, 3, 6}. You can modify and return the given array or return a new array.

public int[] shiftLeft(int[] nums)
{
    
}"
