ID,Code,prompt,PromptType
5d6932a3-ed36-4513-8831-5851605dfb41,"public boolean xyzThere(String str) {
    int n = str.length();

    for(int i = 2; i <= n; i++) {
        if(str.substring(i - 2, i).equals(""xyz"")) {
            if (i == 2 || str.charAt(i - 3) != '.') {
                return true;
            }
        }
    }

    return false;
}","as a cs1 student you are trying to solve this assignment, how would you solve it
Write a function in Java that returns true if the given string str contains an occurrence of the substring ""xyz"" where ""xyz"" is not directly preceded by a period ("".""). For example, ""xxyz"" counts, while ""x.xyz"" does not.
public boolean xyzThere(String str)
{
    
}",3
304a70da-e02c-41c0-b331-101334d80297,"public int countEvens(int[] nums) {
    int count = 0; //initialize count to zero
    for(int i = 0; i < nums.length; i++) {
        if(nums[i] % 2 == 0) { //check if the number is even
            count++; //if it's even, increment the count
        }
    }
    return count; //return the count of even numbers
}","Write a Java function that takes an array of integers as a parameter and returns the number of even integers in the array.

Note: The % (modulus) operator is used to compute the remainder, for example, the result of 5 % 2 is 1.
public int countEvens(int[] nums)
{
    
}",6
8111e18c-7341-4c81-a827-f56c4c166d50,"public int[] frontPiece(int[] nums) {
    int[] res = new int[2];
    if (nums.length > 0) {
        res[0] = nums[0];
    }
    if (nums.length > 1) {
        res[1] = nums[1];
    }
    return res;
}

public int[] frontPiece(int[] nums) {
    int[] res = new int[Math.min(nums.length, 2)];
    for (int i = 0; i < res.length; i++) {
        res[i] = nums[i];
    }
    return res;
}","as a cs1 student you are trying to solve this assignment, how would you solve it
Given an int array of any length, return a new array of its first 2 elements. If the array is smaller than length 2, use whatever elements are present.
public int[] frontPiece(int[] nums)
{
    
}",3
4027c83e-3075-4c6b-b773-283e50b57841,"public int[] zeroMax(int[] nums) {
    int n = nums.length;
    int maxOdd = -1;
    boolean[] isVisited = new boolean[n];
    for (int i = n - 1; i >= 0; i--) {
        if (nums[i] % 2 != 0) {
            maxOdd = nums[i];
        }
        isVisited[i] = (nums[i] == 0) ? (maxOdd > 0) : false;
    }
    for (int i = 0; i < n; i++) {
        if (isVisited[i]) {
            nums[i] = maxOdd;
        }
    }
    return nums;
}","Solve this ""
Write a function in Java that implements the following logic: Return a version of the given array where each zero value in the array is replaced by the largest odd value to the right of the zero in the array. If there is no odd value to the right of the zero, leave the zero as a zero. Hint: in solving this: you may use a second helper function if you want, say to find the largest odd value to the right of a specified position.
public int[] zeroMax(int[] nums)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
7d2f152d-1bf6-4604-9c23-5dfa4334a7c1,"public String atFirst(String str) {
    int length = str.length();
    if(length == 0) {
        return ""@@"";
    } else if(length == 1) {
        return str + ""@"";
    } else {
        return str.substring(0, 2);
    }
}","""Write a Java function named atFirst that takes a single String parameter str and returns a new string based on the following logic:

If the input string str has a length of 2 or more, return a string made of its first 2 characters.

If the input string str has a length of less than 2, return a string where the missing characters are replaced with the '@' character. For example:

If the input is ""hello"", the output should be ""he"".

If the input is ""h"", the output should be ""h@"".

If the input is an empty string """", the output should be ""@@"".

The function signature is provided below:

java
Copy
public String atFirst(String str) {
    // Implement the logic here
}
Write the complete implementation of the atFirst function in Java, ensuring it handles all edge cases correctly.""",4
b45840ce-a80a-4157-bdc1-df7b1a266e23,"int countClumps(int[] nums) {
    if (nums.length == 0) return 0;
    int count = 0;
    for (int i = 1; i < nums.length; i++) {
        if (nums[i] == nums[i-1] && (i == 1 || nums[i] != nums[i-2])) {
            count++;
        }
    }
    if (nums[0] == nums[1]) count++;
    return count;
}","Solve this ""
Say that a ""clump"" in an array is a series of 2 or more adjacent elements of the same value. Return the number of clumps in the given array.
public int countClumps(int[] nums)
{
    
}

""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
09424f6d-7407-4283-b6d4-a75f9f4b1dd7,"public String plusOut(String str, String word) {
    StringBuilder newStr = new StringBuilder();
    int space = 0;
    
    for (int i = 0; i <= str.length() - word.length(); i++) {
        String subStr = str.substring(i, i + word.length());
        if (subStr.equals(word)) {
            // If substring is equal to word, add the word to new string
            newStr.append(word);
            space = i + word.length();
        } else {
            // If substring is not equal to word, add pluses to new string
            for (int j = 0; j < word.length(); j++) {
                newStr.append('+');
            }
            space += word.length();
        }
        i = space;
    }
    
    // If there are characters remaining in the original string, add pluses to new string
    for (int i = space; i < str.length(); i++) {
        newStr.append('+');
    }
    
    return newStr.toString();
}","Write a Java function to implement the following logic: Given a string str and a non-empty word word, return a version of the original string where all characters are replaced with a plus sign (+), but occurrences of word remain unchanged.

public String plusOut(String str, String word)
{
    
}",6
7102e35a-b448-4e76-9a1f-f521dfedb5c2,"public int[] fix45(int[] nums) {
        int n = nums.length;
        if (n < 2) return nums;
        
        int fourIdx = 0;
        int fiveIdx = 1;
        
        while (fiveIdx < n) {
            if (nums[fiveIdx] == 5 && nums[fiveIdx - 1] == 4) {
                fiveIdx++;
            } else {
                int temp = nums[fiveIdx];
                nums[fiveIdx] = nums[fourIdx];
                nums[fourIdx] = temp;
                fourIdx++;
                fiveIdx++;
            }
        }
        
        return nums;
    }","Given an array, return an array containing exactly the same numbers as the original array but rearranged so that each 4 is immediately followed by a 5. The 4s cannot be moved, but other numbers can be rearranged. The number of 4s and 5s in the array are equal, and each 4 is followed by a number that is not another 4. In this version, the 5s can appear anywhere in the original array. (This is a slightly harder version of the fix34 problem.)

public int[] fix45(int[] nums)
{
    
}",6
78282dd9-d4dd-4813-9854-f041b6c04a2d,"public int redTicket(int a, int b, int c) {
    if ((a == 2) && (b == 2) && (c == 2)) {
        return 10;
    } else if ((a == b) && (b == c)) {
        return 5;
    } else if ((a != b) && (a != c) && (b != c)) {
        return 1;
    } else {
        return 0;
    }
}","Write a Java function to implement the following logic:

You have a red lottery ticket displaying integers a, b, and c, where each value can only be 0, 1, or 2. If all values are 2, the result is 10. Otherwise, if all values are the same, the result is 5. Otherwise, if both b and c are different from a, the result is 1. Otherwise, the result is 0.

public int redTicket(int a, int b, int c)
{
    
}",6
2d29c566-86a0-4d6e-96f3-b65fade791c2,"public boolean has77(int[] nums) {
    for (int i = 0; i < nums.length-1; i++) {
        if (nums[i] == 7 && nums[i+1] == 7) {
            return true;
        }
        if (nums[i] == 7 && i+2 < nums.length && nums[i+2] == 7) {
            return true;
        }
    }
    return false;
}","Given an integer array, return true if there are two adjacent 7s in the array or if there are two 7s separated by one element (e.g., {7, 1, 7}). Otherwise, return false.

public boolean has77(int[] nums)
{
    
}",6
