feature,avg_importance
 = ,3.0395662016283675
/ ,2.983627643632933
 =,2.763769072735088
ip,2.7602800558531335
: ,2.342236638564324
// ,2.3295670648325664
 // ,2.3295670648325664
ex,2.320397010053777
um ,2.271831530024835
ed,2.2662857674969663
 2,2.248871429752386
f(,2.247849615598727
0),2.2447850082964953
 10,2.2046573923674604
nc,2.1700764670066137
sult ,2.013588710412483
esult ,2.013588710412483
lt ,2.00445555022266
ult ,2.00445555022266
t.,1.9321893768118987
(b,1.9125822789338829
no,1.9066314986011252
re ,1.892455974703168
ne,1.8676830959953232
ig,1.8352331824346422
mi,1.8125658209343984
p ,1.8008987895360118
iz,1.7705647487113987
 if(,1.7691589761457331
)),1.7653159213299419
i ,1.7206504685594035
 1,1.6450348824761396
re,1.602656813632421
if(,1.5991374875473308
); ,1.5784651774592853
(i ,1.5502334249025918
)) ,1.5437326125299249
);,1.513549761748704
 /,1.5048003643790726
sum ,1.4955700385596522
i+,1.493585625796074
 a,1.4849606401557582
gth() ,1.3981788382782718
h() ,1.3975921581893032
th() ,1.3975921581893032
 els,1.3787516911889663
 else,1.3787516911889663
is,1.375616366633218
) ,1.3694934297792005
 the ,1.3445204772888149
 m,1.3405492949433078
arg,1.324249032273726
rg,1.323078434754394
us,1.317800534276893
the ,1.316080101306837
he ,1.3157517363567344
1 ,1.313233618457521
m ,1.307053004792232
 (,1.3067407877552515
 0,1.2895287627037613
 nums,1.2805368764416039
to,1.2684043733263755
", ",1.2621070609343674
 i++) ,1.2610342591963348
0) ,1.2569373424332817
 += ,1.2325625198467667
t(,1.2321501677301927
ix,1.2305283141272279
(),1.2258431832253227
 int ,1.2223372593347273
+= ,1.2205884155304063
else,1.2101292636618342
els,1.2066548405815793
ult,1.1863500853269588
 5,1.1855695289222
esult,1.1769087642442568
result,1.1769087642442568
resul,1.1769087642442568
esul,1.1769087642442568
sult,1.1769087642442568
sul,1.1769087642442568
resu,1.1769087642442568
() ,1.1746433854921623
he,1.1695774045942202
 el,1.169549814124433
if,1.1661156024764332
 the,1.1555765890027652
lar,1.1548455041643573
or,1.1523591906284858
 (int ,1.1411125345768487
(c,1.1352938689051535
 resu,1.133027852593341
 resul,1.133027852593341
 e,1.1307050558053438
 (int,1.128697863639939
lt,1.1252891220484291
t(i,1.1219177997245966
 != ,1.1174332746278552
+=,1.115990913988541
(num,1.115977060892279
(nu,1.1103084568650101
 int,1.1102469414133052
b) ,1.1084837852676097
 +=,1.1002269953998494
 0;,1.0988010797986583
 (nu,1.0956118752470307
 (num,1.0956118752470307
rou,1.088453333413889
 if,1.0855374853863853
 (i,1.084296895013359
the,1.0842899934491026
hi,1.0778577111310876
 (in,1.0744165821850091
||,1.0727080386250405
 0; ,1.0716579368365886
sm,1.0703474124619587
xt,1.0624241424165988
();,1.0488840428148059
end,1.0444381634203392
 (s,1.0421878698123166
 ma,1.039015777303736
 else ,1.036391352582073
; ,1.0278482147850743
ul,1.0261801222716047
ro,1.0189338948405133
 !,1.0083556105051907
ms[i] ,1.0044992823345729
s[i] ,1.002624036111955
arr,0.9877612974861274
(); ,0.9825914477630594
lse,0.9771391617804104
 n ,0.9757084327403499
];,0.975107832942699
 j,0.9699264803395844
]; ,0.9489722388398341
als,0.9466040013670405
!= ,0.9453458273290212
 te,0.9435309304399901
as,0.9385025155448384
10,0.9376515942876826
bs,0.9273112254087397
esu,0.9185909214008112
ra,0.905542940593059
==,0.8858552775128435
we,0.885491732798745
 tru,0.8776721946652901
""")",0.8761922974202938
 -,0.8688431732055583
eturn ,0.8672548629152106
turn ,0.8672548629152106
urn ,0.8671103231912829
rn ,0.8669658080761458
el,0.8644455562119078
mp,0.8618918145924421
c) ,0.8607402374904707
ap,0.8586573636168164
int ,0.8438924767864115
= ,0.8395593100252103
 true,0.8310272521495534
ue,0.8220417659954038
rr,0.8082627228460115
 tr,0.8074568020620096
 !=,0.8063490873855962
 //,0.8041120732260121
e ,0.794273628787884
lu,0.7937090121863103
tring ,0.792670560003281
ol,0.790468240181551
ate,0.7898861113102496
int,0.7885391160997629
 ',0.7842098360249645
ou,0.7833197799647683
 i++),0.7819968987835685
ll ,0.780654757088573
tru,0.7790789799355899
s.,0.7759281659693075
f ,0.773890560854867
start,0.7736113028825864
tart,0.7736113028825864
ee,0.7718398817874174
else ,0.7711019733170887
 fi,0.769902032304569
"(""",0.768983714324669
star,0.7622462232134971
 la,0.758429020116755
g ,0.7537183114972908
(nums[,0.7523552205503294
ring ,0.7523377016536148
e;,0.7486504686454131
 (nums,0.7484845367953945
//,0.7461691344683734
nt ,0.7417043612327056
[i] ,0.7353899106834674
ed ,0.7347375589867666
true,0.7327926259119876
rue,0.7327926259119876
th,0.7300623648245876
 - ,0.7281574223087081
ere,0.727677020891283
at(i,0.72703878946434
arat(i,0.72703878946434
rat(i,0.72703878946434
 (a ,0.7248977189423571
ll,0.721240001677423
eed,0.7120615475353562
 b,0.7115946170745434
(nums,0.7106536234210122
[i],0.7090429872198831
i] ,0.7089007527997301
t ,0.7081759075794116
en,0.7051465182086907
 d,0.7035002187182221
ur,0.7019361929797776
 sum ,0.7013469669598591
ent,0.7013407397037177
rue;,0.6968187369626525
true;,0.6968187369626525
 true;,0.6947638210634048
(str.,0.6890983284459287
nd,0.68892441259337
.a,0.6875765886115374
 g,0.6799394820220743
een,0.6713775713061869
- ,0.6674897701807585
 nums[,0.6651132771069951
dd,0.6629283294268669
new ,0.6628180846867263
ew ,0.6628180846867263
at,0.6620400650338203
 2 ,0.6617824876920599
os,0.6614901418743839
pa,0.65697813878525
count,0.6568601151507119
coun,0.6568601151507119
ount,0.6561391049417983
cou,0.6554207951519847
tw,0.6553751763336302
ar,0.6548763754581742
tar,0.6527556147714905
if ,0.6499696931893371
len,0.6464350376049272
bl,0.6461072589224188
 i++,0.6444557639477422
se ,0.6439425146909263
r(,0.6436228183367922
+ ,0.6392726234611646
1],0.6345748352841392
 new ,0.631894089502792
i++) ,0.6273234976223027
 th,0.6268043549557387
 res,0.6258095679169878
] ,0.6246899560299616
 r,0.6226077635436486
ea,0.6215061842106258
y ,0.6212490259378642
ni,0.6199118505138581
la,0.616270555995204
pp,0.6155804823300051
 a ,0.6151559633736843
(str,0.6141060996421488
index,0.6109231980265496
 c),0.6108639065161472
ndex,0.6084963292045792
lse ,0.6077596891763635
tr,0.5972285021800652
oun,0.591933530407904
me,0.5901706096654958
rue; ,0.5884981914476178
true; ,0.5884981914476178
ru,0.5860597862634664
ke,0.5858834881393683
in,0.582545412558686
(st,0.5816185641304705
unt,0.5815255407857596
t[,0.5782575307910873
first,0.5756591176142172
firs,0.5756591176142172
irst,0.5756591176142172
fir,0.5753218418084587
irs,0.5751197210379304
or ,0.5739463830087254
min,0.5722870539268237
rst,0.5713278060990341
dex,0.5653353888754493
1),0.5631582390489411
al ,0.5621475565017338
ac,0.5613347970087466
al,0.5582001143090607
 co,0.5516258612109617
1) ,0.5510314626512712
 st,0.5461714112189764
nte,0.5434397621803293
turn,0.5402936336341266
retur,0.5402936336341266
etur,0.5402936336341266
eturn,0.5402936336341266
return,0.5402936336341266
urn,0.5402035901245819
w ,0.5395446070426315
" """,0.5393259695304533
ys,0.5379647168681871
at(,0.5316767262595444
 2),0.5312342498912402
"""))",0.531026658161125
"a,",0.5289028979727901
"a, ",0.5289028979727901
 (a,0.5272516908783238
cl,0.525880098274399
ax,0.5238654332416617
max,0.5237286133148658
ep,0.5220374505102181
ue;,0.5211027591760418
 for ,0.5210770027349239
 f,0.5182836953810892
ve,0.5166847387689133
for ,0.5101140849215265
si,0.5090525837179363
er ,0.5058909296944616
 <= ,0.5043131423014438
pe,0.5029642045250222
inde,0.5008737269569933
ir,0.5002415442292935
da,0.49841593480221136
heck ,0.49835897359664416
eck ,0.49835897359664416
check ,0.49835897359664416
ith,0.4941919880214351
 str.,0.49295613457194454
le,0.4924038223008729
ft,0.4922114455069623
retu,0.4911546018149049
etu,0.4911546018149049
ret,0.4907706350136851
ns,0.4903376449060754
res,0.4865179935003747
wo,0.4801935292386533
un,0.47312156842743847
ste,0.471387647391027
with,0.4708890369170109
tur,0.4689227585537317
ent ,0.46860488090670643
 >= ,0.46659296225077096
ad,0.4646774180062271
spe,0.4636202036081736
 i+,0.4628499488773516
fo,0.4617622850339102
ing,0.4615246026961072
1;,0.45650478541336986
.len,0.455492854547648
.le,0.455492854547648
rn,0.4552217415290697
 &,0.45439087714951865
rs ,0.45313327939820314
 c,0.45273567141711424
 > ,0.4524226546349107
 if ,0.44649514990979583
 == ,0.4449436444007686
 check,0.44281678058820406
 chec,0.44281678058820406
 che,0.4426794638606165
 arr,0.44045810254952633
sp,0.4374839446066939
 b ,0.43697493593646947
e; ,0.43511188136561385
of,0.4350986470500012
.l,0.43500218136239666
sw,0.4332952410677165
1; ,0.43227725834116026
ts,0.43185767158261756
 sta,0.42832733018056535
 6,0.423686968757208
.leng,0.4235977530899431
wit,0.4231705522686863
s(,0.42287789241657797
.lengt,0.41846623060347976
nu,0.41814372350074586
ck,0.41781294652895906
ati,0.4169416041391931
>= ,0.4160615438717179
ue; ,0.4145567310529532
num ,0.41288234331187784
nde,0.41064201130619027
ls,0.40980759814543477
sa,0.4063018192187091
sh,0.40478739788322493
read,0.4037540775413645
rray ,0.4030276652659953
array ,0.4030276652659953
ray ,0.4030276652659953
for,0.402567515123592
 l,0.40039607433062924
 i ,0.39651679736832707
 it,0.39624569764744716
 t,0.39187457426865224
<= ,0.3894417569345161
!=,0.3893683790040402
num,0.3879626374461467
c ,0.38728307046521215
nums.,0.38309112528073397
ms.,0.38309112528073397
ums.,0.38309112528073397
ub,0.38290155357156785
 str,0.3827662031096304
ead,0.38257495304521894
er,0.3821734442755722
pee,0.38160308767913176
));,0.37761040699896786
an,0.3730438641094034
++),0.3721275374433975
+),0.3721275374433975
& ,0.37202423352456027
las,0.3697063203403946
rt,0.36950773837412015
tl,0.3693610352194244
 3,0.3686060896412333
r.c,0.36860339690525823
== ,0.3678320281244899
tu,0.36405037266784734
zz,0.36380169533404844
 for,0.36335124882508496
ean,0.36156175403566726
sum,0.36038429142912204
nums,0.3599855741512776
ment,0.35941092716740874
men,0.35941092716740874
lea,0.35703476237218523
um,0.3570053071905973
&& ,0.3563499773205666
 i,0.3562206483480478
c),0.35559027163589285
olean ,0.3539992857396286
lean ,0.3539992857396286
olea,0.3538415814564485
olean,0.3538415814564485
lean,0.3538415814564485
ean ,0.3538415814564485
ole,0.3536840152681441
ren,0.35300213256816226
not,0.3489107287340828
" a,",0.3458900389820311
" a, ",0.3458900389820311
et,0.3438652731633288
)); ,0.3428119723282437
ic ,0.34221824354512276
 && ,0.3362594126369111
 &&,0.3362594126369111
 ch,0.3350743886031979
an ,0.33450412577403577
 + ,0.33383900437476044
 is ,0.33353082088663855
(stri,0.3328790001483483
(strin,0.3328790001483483
 va,0.33254311636011524
str.,0.3297347184940304
tr.,0.3294192269822703
s[i],0.32870123304669324
 coun,0.32367430227550775
 count,0.32367430227550775
th(,0.32314894114098436
 cou,0.3229158510862806
 no,0.3204396625404969
che,0.3203413037947409
ubl,0.3175531788219895
ength ,0.3159818808581204
gth ,0.3159818808581204
ngth ,0.3159818808581204
 to,0.31585959459056334
te,0.3147529161098615
chec,0.31461538748954543
check,0.31461538748954543
hec,0.31461538748954543
eck,0.31461538748954543
heck,0.31461538748954543
be,0.31380638086538626
tr.su,0.3127506723570062
tr.sub,0.3127506723570062
str.su,0.3127506723570062
r.subs,0.31248611478193145
r.sub,0.3123540912495043
> ,0.31199366518194055
0 ,0.3119265758925158
it,0.31145379072441187
di,0.31061457734338394
r.su,0.3100062518176519
pu,0.3092156844592828
 w,0.3084525382191878
day,0.30630087251351545
ck ,0.3060985313277582
(n,0.305687186958278
 ==,0.30473575229070904
se,0.30271879843409477
nt,0.2991534351315771
t;,0.29884817562891003
tring(,0.29769225990572756
ot,0.29738467647648936
is ,0.2962815504325628
ms[i],0.2926853133363213
ums[i],0.2926853133363213
t; ,0.2918600329245786
n ,0.2915254385853283
ln(,0.2912202305352837
intln(,0.2912202305352837
ntln(,0.2912202305352837
tln(,0.2912202305352837
printl,0.2910676611472408
tln,0.2910676611472408
ntln,0.2910676611472408
rintl,0.2910676611472408
rintln,0.2910676611472408
intln,0.2910676611472408
intl,0.2910676611472408
bread,0.2901028470755321
ntl,0.2888107512985294
bli,0.28440942294721805
rat,0.2841466571404523
de,0.28365771332475465
peed,0.28176104065698304
speed,0.28176104065698304
spee,0.28176104065698304
ay,0.27976644615001556
d ,0.2792516754339394
i++),0.2776548406086649
ch,0.27720598998852375
 is,0.2768040825045667
 strin,0.2759368974989884
 stri,0.2759368974989884
ngth(),0.27591411816700556
gth(),0.27591411816700556
h(),0.2758280559011148
th(),0.2758280559011148
gth(,0.27574206262303314
ength(,0.27574206262303314
ngth(,0.27574206262303314
br,0.27569769200983774
ha,0.275495171315248
 { ,0.2734457099063318
va,0.2688003039640392
ublic ,0.26714612496228396
ublic,0.26714612496228396
lic ,0.26714612496228396
ubli,0.26714612496228396
blic ,0.26714612496228396
blic,0.26714612496228396
lic,0.26710161066965954
ng(,0.26678957790497526
ing(,0.26678957790497526
g(,0.26678957790497526
sta,0.26574931213615643
ma,0.26244351843513647
 bool,0.2606649231858793
 boole,0.2606649231858793
 boo,0.2606649231858793
th ,0.2589257831081152
|| ,0.25891439038830655
| ,0.25882571420876194
h;,0.25740110925225745
lo,0.25331153789589156
x ,0.2532011979328449
ay ,0.25238130418309135
 cl,0.25213647924965993
pub,0.25108980199103414
public,0.25108980199103414
 publi,0.25108980199103414
 publ,0.25108980199103414
 pub,0.25108980199103414
publ,0.25108980199103414
 pu,0.25108980199103414
publi,0.25108980199103414
alse; ,0.2509408430697963
 su,0.24994061747763996
lement,0.24940244807026882
lemen,0.24940244807026882
leme,0.24940244807026882
 (n,0.24868094555720593
bst,0.2477297712386906
.s,0.24712280095998357
th;,0.246727941355863
ss,0.24640981460527947
rac,0.2435548692720324
last,0.2409891053378481
cke,0.24044646929861146
 numbe,0.2403277767931986
elem,0.24008310066749605
elemen,0.24008310066749605
eleme,0.24008310066749605
 v,0.23979894501844945
id,0.2393496281525329
 to ,0.23897954912096078
i],0.2389394947890864
 >,0.2385859249961641
bu,0.23751322734936312
 sum,0.23718199929633016
 num,0.23716744170780385
oolea,0.2344745259396206
oolean,0.2344745259396206
boole,0.2344745259396206
ool,0.2344745259396206
boolea,0.2344745259396206
boo,0.2344745259396206
bool,0.2344745259396206
oole,0.2344745259396206
cte,0.2338136117079318
ter,0.23235292382795764
tr.l,0.23188800679107985
str.l,0.23188800679107985
nd ,0.23066223031880498
fi,0.23051472513579924
ring(,0.22888674075355397
e),0.22753494193822257
ic,0.2263021841041166
tr.len,0.2260224963266454
str.le,0.2260224963266454
tr.le,0.2260224963266454
lse; ,0.22574530056336606
<=,0.22495316784707378
bre,0.22485989534322928
brea,0.22485989534322928
 ne,0.22410650554612593
put,0.22215410292369953
st,0.22170214449319386
 <,0.22050139258315746
lem,0.22015098101609326
so,0.21942768563948034
 0),0.21722743693593868
ln,0.21683386097285945
pri,0.2165929619539337
2 ,0.21654602515603233
s[,0.2163237097289926
 re,0.21620372304917967
""";",0.2159008912490459
new,0.2155739141112748
ew,0.2149622608051728
und,0.2134895485325672
ing ,0.21091434684537635
eme,0.21074677867799255
emen,0.21074677867799255
ement,0.21074677867799255
ng ,0.2106706763868484
 bo,0.2097735400969725
k ,0.2096442037962416
ti,0.20749889511609806
cu,0.2039973099599055
 out,0.20384126860014865
 ou,0.20341364406130416
(int ,0.20307106113284168
se; ,0.202779921623517
 eleme,0.20206473952157938
 elem,0.20206473952157938
r),0.20195774128500943
 ele,0.20169664326540088
 ca,0.20012237474762024
13,0.19759858744145992
es ,0.19749287718001407
nt[],0.1945991650007785
int[],0.1945991650007785
t[],0.1945991650007785
 p,0.19432136381428922
il,0.19255167202292106
(a,0.1914697393322107
gh,0.19129059618853328
ract,0.19116251919094152
ge,0.18940046143351563
(a ,0.18926036839573085
mai,0.18820746927627158
main,0.18820746927627158
 n,0.18740844245023877
em,0.18529453310634753
sub,0.18443564361211154
 +,0.18432408830666375
b),0.18291584207594194
[],0.18022982331680537
ele,0.1799949782484721
{ ,0.1796568232405445
 } ,0.1792842325143289
ength;,0.1790501462543283
ngth;,0.1790501462543283
gth;,0.1790501462543283
ind,0.17656344451798472
n(,0.1764189136466111
str,0.17587865588974844
 in,0.17544721930430526
 le,0.1746637659513226
wi,0.17254032807225989
ct,0.1722867985100442
s ,0.17030278313239072
to ,0.16975247434628893
 fo,0.16929301535624927
ta,0.16790339507368526
cal,0.16596799406123441
arat,0.16461753825628136
(int[,0.16461223991860793
(int[],0.16461223991860793
put: ,0.163620667241891
put:,0.163620667241891
ut:,0.163620667241891
ut: ,0.163620667241891
tput: ,0.163620667241891
tput:,0.163620667241891
utput:,0.163620667241891
bstr,0.16159674612990654
bstri,0.16159674612990654
bstrin,0.16159674612990654
ate ,0.16032351662891348
 <=,0.15849993613713645
s),0.15830757183311023
te ,0.1577463367541972
 and ,0.15758003131251574
 and,0.15758003131251574
es,0.15696877823257366
all,0.15670116528113118
subst,0.15493795542164163
ubst,0.15493795542164163
ubs,0.15482143369980406
subs,0.15482143369980406
 ||,0.15425610680323543
 |,0.15420330640825872
leng,0.15387412068192133
eng,0.15387412068192133
 false,0.15343309658238335
 fals,0.15343309658238335
 fal,0.15343309658238335
co,0.15233706273532743
on,0.15098699932867946
ast,0.15059009083661323
 < ,0.14891987887623817
ength,0.1487889695429517
length,0.1487889695429517
gth,0.1487889695429517
engt,0.1487889695429517
ngth,0.1487889695429517
lengt,0.1487889695429517
ngt,0.14847242879183015
rre,0.14825572918144844
 s,0.1469650379624305
io,0.14689305038431727
gt,0.14594320991651905
and,0.1455909130388895
pl,0.14495712925870344
 1; ,0.14447715179774778
ce,0.14374550044482864
tor,0.14278659826169948
ion,0.14228203691466534
her,0.14078747624087934
(i,0.14040184750307422
harat,0.14025907282697184
charat,0.14025907282697184
&&,0.1381731618403787
xy,0.13776095451668666
ai,0.1360216104986345
ri,0.13453212250358768
 cha,0.13358038734844713
< ,0.13356556347116605
nums[i,0.13265127806002636
ums[i,0.13261475230381942
ms[i,0.13261475230381942
h(,0.13134973561712543
s[i,0.13129759115546888
(s,0.13067354943851353
cha,0.13058486770612232
est,0.13001331762457788
 o,0.12985264369830818
 fa,0.12977755570000482
 new,0.12750337497277398
rs,0.1272911452048082
a ,0.12694438632326557
rray,0.12386400600604155
ray,0.12386400600604155
array,0.12386400600604155
arra,0.12386400600604155
rra,0.12381203229275525
rea,0.12223998497621677
b ,0.1219484141505707
ain,0.12171689557232841
ec,0.11917729676859769
 array,0.11836462577290172
 arra,0.11836462577290172
 val,0.11833033208944102
++,0.11824569217551467
act,0.11817653427594481
"""; ",0.11777235643906309
""" ",0.11768216148800635
sy,0.11619984866967746
0;,0.11496011251340657
umb,0.11472431010365167
numb,0.11472431010365167
tri,0.11407304879391894
 ar,0.11359679250370203
mb,0.11324006365591152
mbe,0.11302469531341097
mber,0.11302469531341097
number,0.11302469531341097
umber,0.11302469531341097
numbe,0.11302469531341097
umbe,0.11302469531341097
ber,0.11302469531341097
>=,0.11142192971845077
ms[,0.11089331480798616
e(,0.11014438995672009
r) ,0.1098304887227119
s) ,0.10789450913863326
ut,0.10522359866854288
ums,0.10505255031679053
h; ,0.10394601356818325
st ,0.10389693916526763
t: ,0.10321864284860871
t:,0.10321864284860871
r.s,0.10312428060364658
ng,0.10277663657906194
nt[,0.10140836606250926
int[,0.10140836606250926
od,0.10123884949337514
tem,0.1007959662386874
su,0.09983440711356442
tring,0.09953964104592386
string,0.09953964104592386
strin,0.09953964104592386
stri,0.09953964104592386
trin,0.09953964104592386
alse;,0.09829594759854005
false;,0.09829594759854005
 int[,0.09670299102018128
 || ,0.09647991335930092
str.s,0.09643611269985361
tr.s,0.09643611269985361
bo,0.09636560589045313
 >=,0.0954311079986869
(int,0.09534465107744308
.c,0.09387556146667358
s.le,0.09266204993873522
s.len,0.09266204993873522
s.l,0.09263830703724174
th; ,0.09253308036964444
 retu,0.09175413774184607
 ret,0.09175413774184607
mo,0.09089689361969777
and ,0.09042686913574105
tic,0.08967864080977453
ca,0.08864647437216841
 str.l,0.0879834773542467
nums),0.08786319019381272
ums),0.08786319019381272
ms),0.08786319019381272
ms.len,0.08678035405357262
ms.le,0.08678035405357262
ms.l,0.08678035405357262
nums.l,0.08678035405357262
ums.l,0.08678035405357262
ums.le,0.08678035405357262
 outp,0.08427198045854564
 outpu,0.08427198045854564
o ,0.0836427241250439
h ,0.08205862266786913
[i,0.08027887679123638
i++,0.08006762111024635
 {,0.07884559488431912
nums[,0.07847633535901224
ums[,0.0784562526617675
fal,0.07804526038315518
alse,0.07804526038315518
false,0.07804526038315518
fals,0.07804526038315518
 },0.07742522015320617
ld,0.07730610076916476
ms,0.07469261066040514
ngth; ,0.07442871280107599
gth; ,0.07442871280107599
tion,0.07432446959385772
tio,0.07432446959385772
lse;,0.07320497476644022
ulat,0.07278213397048908
ula,0.07268185577548658
arat(,0.07267674341322139
rat(,0.07267674341322139
harat(,0.07267674341322139
.subst,0.07134138627418496
.subs,0.07134138627418496
.sub,0.07131416054897476
n),0.07124596321896356
 numb,0.07096120113049761
.su,0.07077585965894782
emp,0.07061449090223662
tpu,0.07019643101061068
output,0.07019643101061068
outp,0.07019643101061068
utp,0.07019643101061068
utput,0.07019643101061068
utpu,0.07019643101061068
outpu,0.07019643101061068
tput,0.07019643101061068
print,0.0692864317305114
rint,0.0692864317305114
prin,0.0692520137323553
 1;,0.06923266108212509
r ,0.06913478679327786
ubstri,0.06863252111421572
ubstr,0.06863252111421572
substr,0.06863252111421572
om,0.06741102253369632
tp,0.06729293345998867
r.l,0.06560069047370007
out,0.06468290855097619
ther,0.06406590185256758
 an,0.06320297321200569
 nums.,0.0630553412204097
ound,0.06209880721069268
art,0.06191082104119887
 nu,0.059914259605827504
ho,0.058955131568891234
chara,0.05849254404741532
hara,0.05849254404741532
oo,0.05720977802080729
r.leng,0.05518668734841037
r.len,0.055167594023763214
r.le,0.055167594023763214
nt[] ,0.052304068363660486
int[] ,0.052304068363660486
