feature,avg_importance
 = ,54.56
 (,54.14
) ,54.02
; ,39.1
: ,38.92
 =,37.58
 {,36.58
/ ,33.72
 -,33.02
re,32.38
f(,32.04
(b,30.86
 // ,30.26
 1,27.04
 0,25.98
 0;,25.5
 i,21.74
i+,21.6
 p,21.56
)),21.28
 the ,20.44
i ,20.18
 re,19.92
= ,19.62
de,19.58
ub,19.42
);,19.08
0;,18.92
 s,18.88
n ,18.54
s.,18.16
 i ,17.44
th,17.22
ls,15.8
in,15.64
 2,15.48
ue,15.4
ex,15.08
 } ,15.0
)) ,15.0
 &,15.0
r ,14.94
 - ,14.9
ed,14.9
(i,14.74
 { ,14.64
 },14.54
ra,14.3
su,14.28
 f,13.9
 (s,13.76
(s,13.62
 +,13.56
 if(,13.46
nt ,12.96
num ,12.92
se,12.7
nc,12.66
 a ,12.42
} ,11.94
(n,11.94
++,11.86
bl,11.56
 <,11.52
els,11.52
nt,11.46
 1;,11.34
(nums[,11.32
ms[i] ,11.14
e ,11.1
 += ,11.08
0),11.02
t ,10.92
c ,10.9
1 ,10.88
 (nums,10.66
 new,10.52
len,10.34
 !,10.32
ic,10.3
 (i,10.22
check ,10.22
 r,10.06
t;,10.04
e;,10.04
lse,9.98
 e,9.96
 el,9.9
ho,9.88
==,9.86
eturn ,9.86
 10,9.82
(a,9.82
 i++) ,9.76
 +=,9.74
esult ,9.66
 5,9.62
", ",9.56
als,9.54
ng,9.36
a ,9.18
1;,9.1
ul,8.56
[i,8.54
le,8.34
{ ,8.32
 els,8.28
if,8.12
 b,8.0
ig,7.94
al,7.88
(),7.86
um ,7.84
 str.,7.78
g ,7.78
um,7.68
(int ,7.66
gth() ,7.5
esul,7.48
ru,7.42
(c,7.4
 su,7.34
 if,7.3
et,7.26
er,7.24
nd,7.22
0; ,7.2
 >,7.18
 int,7.14
> ,7.06
int,7.06
fa,7.04
!=,6.96
if(,6.94
no,6.86
 ==,6.84
bli,6.82
1),6.8
); ,6.76
 te,6.74
 t,6.7
 a,6.68
ength;,6.64
te,6.54
0) ,6.52
ed ,6.5
 in,6.48
 //,6.38
 sum ,6.36
ne,6.34
1; ,6.32
n),6.26
la,6.22
 st,6.18
