ID,Code,prompt,PromptType
b7ba0016-31d4-4068-b50b-926122b44657,"public int greenTicket(int a, int b, int c){
    if(a==b && b==c)return 20;
    if(a==b || b==c || a==c)return 10;
    return 0;
}","Solve this ""
You have a green lottery ticket, with ints a, b, and c on it. If the numbers are all different from each other, the result is 0. If all of the numbers are the same, the result is 20. If two of the numbers are the same, the result is 10.
public int greenTicket(int a, int b, int c)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
36959349-5fb1-4a5f-b101-5f3dd37dd66d,"public int redTicket(int a, int b, int c) {
    if (a == 2 && b == 2 && c == 2) {
        return 10;
    } else if (a == b && b == c) {
        return 5;
    } else if (a != b && a != c) {
        return 1;
    } else {
        return 0;
    }
}","Solve this ""
Write a function in Java that implements the following logic: You have a red lottery ticket showing ints a, b, and c, each of which is 0, 1, or 2. If they are all the value 2, the result is 10. Otherwise if they are all the same, the result is 5. Otherwise so long as both b and c are different from a, the result is 1. Otherwise the result is 0.
public int redTicket(int a, int b, int c)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
c89d02e2-54f9-4159-a99b-4607a6e81be5,public int centeredAverage(int[] nums){java.util.Arrays.sort(nums);int sum=0;for(int i=1;i<nums.length-1;i++){sum+=nums[i];}return sum/(nums.length-2);},"Solve this ""
Return the centered average of an array of ints, which we'll say is the mean average of the values, except ignoring the largest and smallest values in the array. If there are multiple copies of the smallest value, ignore just one copy, and likewise for the largest value. Use int division to produce the final average. You may assume that the array has a length of 3 or more.
public int centeredAverage(int[] nums)
{
    
}

""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
266e75e3-c655-444d-b83e-0be9455bfc10,"public String alarmClock(int day, boolean vacation) {
    if (vacation) {
        if (day == 0 || day == 6) {
            return ""off"";
        } else {
            return ""10:00"";
        }
    } else {
        if (day == 0 || day == 6) {
            return ""10:00"";
        } else {
            return ""7:00"";
        }
    }
}","Solve this coding assignment ""
Given a day of the week encoded as 0 = Sun, 1 = Mon, 2 = Tue, ... 6 = Sat, and a boolean indicating if we are on vacation, return a string of the form ""7:00"" indicating when the alarm clock should ring. Weekdays, the alarm should be ""7:00"" and on the weekend it should be ""10:00"". Unless we are on vacation--then on weekdays it should be ""10:00"" and weekends it should be ""off"".
public String alarmClock(int day, boolean vacation)
{
    
}

""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019.",2
5a082919-6bcf-4ede-a103-6946f4a2e2c6,"public String atFirst(String str) {
    return str.length() >= 2 ? str.substring(0, 2) : str + (str.length() == 1 ? ""@"" : ""@@"");
}","Solve this ""
Write a function in Java that implements the following logic: Given a string, return a string made of its first 2 chars. If the string length is less than 2, use '@' for the missing chars.
public String atFirst(String str)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
6593f8a5-cfa0-4742-bdc8-b94a89646092,"public int[] tenRun(int[] nums)
{
    int currentTen = -1;
    for (int i = 0; i < nums.length; i++)
    {
        if (nums[i] % 10 == 0)
        {
            currentTen = nums[i];
        }
        if (currentTen != -1)
        {
            nums[i] = currentTen;
        }
    }
    return nums;
}","Solve this coding assignment ""
For each multiple of 10 in the given array, change all the values following it to be that multiple of 10, until encountering another multiple of 10. So {2, 10, 3, 4, 20, 5} yields {2, 10, 10, 10, 20, 20}.
public int[] tenRun(int[] nums)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019.",2
296a415a-4679-4c36-b3e0-b6c10eafa1f0,"public int[] fix45(int[] nums) {
    int fiveIndex = 0;
    while (nums[fiveIndex] != 5) fiveIndex++;
    for (int i = 0; i < nums.length - 1; i++) {
        if (nums[i] == 4 && nums[i + 1] != 5) {
            while (nums[fiveIndex] != 5 || (fiveIndex > 0 && nums[fiveIndex - 1] == 4)) fiveIndex++;
            int temp = nums[i + 1];
            nums[i + 1] = nums[fiveIndex];
            nums[fiveIndex] = temp;
        }
    }
    return nums;
}","Solve this ""
Given an array, return an array that contains exactly the same numbers as the original array, but rearranged so that every 4 is immediately followed by a 5. Do not move the 4's, but every other number may move. The array contains the same number of 4's and 5's, and every 4 has a number after it that is not a 4. In this version, 5's may appear anywhere in the original array. (This is a slightly harder version of the fix34 problem.)
public int[] fix45(int[] nums)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
afbcbfbe-9646-47dd-aed7-bf998440c957,"public int loneSum(int a, int b, int c) {
    if (a == b && b == c) {
        return 0;
    } else if (a == b) {
        return c;
    } else if (a == c) {
        return b;
    } else if (b == c) {
        return a;
    } else {
        return a + b + c;
    }
}","Solve this coding assignment ""
Write a function in Java that implements the following logic: Given 3 int values, a, b, and c, return their sum. However, if one of the values is the same as another of the values, it does not count towards the sum.
public int loneSum(int a, int b, int c)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019.",2
455f9e85-e606-460b-807e-9aec07924d40,"public int sum13(int[] nums) {
    int sum = 0;
    for (int i = 0; i < nums.length; i++) {
        if (nums[i] == 13) {
            i++;
        } else {
            sum += nums[i];
        }
    }
    return sum;
}","Solve this coding assignment ""
Write a function in Java that takes an array and returns the sum of the numbers in the array, or 0 if the array is empty. Except the number 13 is very unlucky, so it does not count any 13, or any number that immediately follows a 13.
public int sum13(int[] nums)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019.",2
d4cae739-b20b-41a7-8e86-09c9d8628b35,"public int centeredAverage(int[] nums){
java.util.Arrays.sort(nums);
int sum=0;
for(int i=1;i<nums.length-1;i++)sum+=nums[i];
return sum/(nums.length-2);
}","Solve this ""
Return the centered average of an array of ints, which we'll say is the mean average of the values, except ignoring the largest and smallest values in the array. If there are multiple copies of the smallest value, ignore just one copy, and likewise for the largest value. Use int division to produce the final average. You may assume that the array has a length of 3 or more.
public int centeredAverage(int[] nums)
{
    
}

""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
