feature,avg_importance
 = ,58.2
if(,45.46
 (,42.64
 // ,39.48
; ,39.28
/ ,33.68
: ,31.4
 re,30.72
 { ,30.42
 (i,28.94
 {,26.56
 0,25.52
0),25.1
ru,25.02
ub,24.9
1;,24.02
 =,23.98
 b,22.64
= ,22.64
];,21.74
in,21.6
i+,21.52
c ,20.8
re,20.64
nc,20.44
nt,20.44
r ,18.88
 a ,18.58
 i,18.46
 (n,18.2
 i ,18.12
 p,18.08
de,17.76
n ,17.5
ul,16.98
ex,16.68
", ",16.36
 += ,16.18
(nums[,16.14
(a,16.08
) ,15.9
lse,15.84
check ,15.44
(i,15.42
mi,15.38
 1,15.16
(i ,15.06
 0;,15.02
ax,14.54
em,14.46
g ,14.2
);,14.06
)) ,13.92
ls,13.92
 2),13.82
 },13.8
 +=,13.6
 } ,13.38
 s,13.0
 su,12.74
al,12.74
 &,12.66
 +,12.6
num ,12.42
(b,12.4
 -,12.34
 r,12.3
0;,12.26
els,12.22
!=,12.2
)),12.16
se,12.02
(n,11.84
 2,11.78
 f,11.58
if,11.38
 n,11.38
ent,11.2
));,11.18
 n ,11.18
 5,11.14
0; ,11.12
1),11.1
 (s,10.84
eturn ,10.78
a ,10.6
 g,10.52
ur,10.48
[i ,10.32
s.,10.28
ng,10.16
 !,10.04
i ,9.88
su,9.86
arr,9.82
e ,9.74
as,9.72
fa,9.56
f(,9.44
le,9.4
bl,9.4
c),9.36
nt ,9.08
ms[,9.08
 c,9.04
en,8.9
ength;,8.86
//,8.86
r(,8.76
th,8.74
ed ,8.72
alse;,8.7
< ,8.62
ue,8.58
 in,8.48
t.,8.4
> ,8.36
ic,8.34
 str.,8.32
[i,8.3
(nums,8.22
" """,8.22
 l,8.14
ra,8.1
 <,8.1
 la,8.04
nd,7.94
 2 ,7.92
 int,7.92
al ,7.76
str,7.68
tr,7.68
i],7.56
li,7.44
 (nums,7.44
"a,",7.34
te,7.34
 if,7.34
int,7.34
 e,7.26
h;,7.22
the ,7.16
 == ,7.16
len,7.04
et,7.04
ch,6.88
 t,6.86
 >,6.86
t;,6.82
d ,6.78
 a,6.74
2),6.48
als,6.4
t ,6.36
st,6.32
 the ,6.3
le ,6.16
 int ,6.16
"(""",6.08
um,6.08
] ,6.02
0) ,6.0
il,5.98
10,5.94
 ==,5.86
++; ,5.74
 6,5.72
(int ,5.68
la,5.64
um ,5.6
 i++,5.54
 i++) ,5.52
(in,5.48
 ne,5.42
 nums,5.42
el,5.38
ou,5.36
e;,5.32
m;,5.28
 fi,5.26
ma,5.24
to,5.16
or,5.14
cu,5.12
 0),5.1
 + ,5.1
er,5.04
 sum ,5.0
 (nu,4.96
gth() ,4.94
ent ,4.92
esult ,4.9
 (a,4.88
at,4.86
is,4.78
mp,4.76
 stri,4.76
.s,4.72
ri,4.72
b ,4.7
 nums[,4.62
ind,4.6
(a ,4.6
ult,4.6
m ,4.56
ir,4.52
 if(,4.5
 ma,4.48
+),4.48
 < ,4.46
ea,4.44
pp,4.42
rn ,4.42
ength ,4.36
sa,4.26
 - ,4.26
ms,4.26
b),4.24
""")",4.2
he ,4.12
int ,4.1
lt,4.1
ar,4.1
ms[i,4.1
(int,4.08
l ,3.96
(s,3.9
+ ,3.88
fo,3.78
rre,3.78
 i+,3.78
we,3.74
 pu,3.7
""";",3.7
 nu,3.66
f ,3.66
0 ,3.64
 w,3.58
1) ,3.58
ip,3.56
(c,3.54
 b ,3.54
 |,3.5
ing,3.44
(nu,3.44
sw,3.4
str),3.36
(),3.28
 10,3.22
 1;,3.14
 (a ,3.14
se ,3.14
it,3.12
.l,3.08
lu,3.06
ed,3.06
 c) ,3.02
e(,3.0
lt ,2.98
ll ,2.98
ay,2.96
tring ,2.94
ti,2.92
[] ,2.92
x ,2.84
 //,2.82
 /,2.82
an,2.82
 ret,2.8
&&,2.78
();,2.78
no,2.76
g(,2.72
unt,2.72
t(,2.72
 nums),2.7
 &&,2.68
 st,2.68
1 ,2.66
ppe,2.62
ce,2.6
.sub,2.52
rst,2.52
++;,2.48
n),2.46
 the,2.46
[i],2.46
tru,2.46
co,2.44
max,2.42
{ ,2.4
 ',2.4
ke,2.38
} ,2.36
++,2.34
p ,2.34
ck,2.32
 int[,2.32
 bo,2.3
 boo,2.3
 el,2.28
dex,2.26
rn,2.24
 > ,2.2
eed,2.2
cl,2.2
" a,",2.18
ec,2.18
d),2.18
ui,2.16
end,2.16
b) ,2.12
rue;,2.12
hi,2.1
rr,2.06
 le,2.06
nu,2.04
ms.,2.02
[],2.0
ren,2.0
 b),1.98
gt,1.98
ubl,1.98
 fa,1.96
t[,1.94
tri,1.94
 co,1.92
ic ,1.92
n) ,1.92
2 ,1.88
 >= ,1.86
ro,1.86
==,1.82
 if ,1.8
gh,1.78
ct,1.76
ee,1.76
emp,1.76
eng,1.76
 (in,1.74
pe,1.74
t(i,1.74
 (st,1.72
2) ,1.72
rt,1.66
