feature,avg_importance
 = ,0.017824124391864635
: ,0.012945995973815556
 // ,0.007877807417486298
// ,0.007196377268057936
; ,0.007002022453651663
/ ,0.006880095653227411
ul,0.006549884031648583
 0;,0.005463832588625578
re,0.005430086624509799
in,0.005374373372442736
 i,0.005152455704225436
 0; ,0.005130414543218003
n ,0.004480550380249323
 } ,0.004407969501617153
} ,0.004179211021076106
 =,0.004116183657815185
 re,0.004084375713330787
 {,0.004069997416147294
int,0.004050996232338078
 { ,0.004033899279246166
 r,0.004025763802165415
{ ,0.004006559055922596
 },0.003913236881483346
 /,0.0037018700299358705
 //,0.0036628816116060113
 the ,0.0035891328168412982
ub,0.0035112106613659276
ult,0.003502954125253579
he ,0.003450987506381618
) ,0.003353375686124175
//,0.0033272086430226433
 int,0.0032882081998618935
ru,0.003275676200767404
the ,0.003228809173868254
if,0.0031994174435045412
 resu,0.003183965484881544
tru,0.0031565751142010917
 the,0.0031327626512527872
 int ,0.003129405375714446
lt,0.0031183995346142634
 if,0.00311014535965261
eturn ,0.0030764532066409754
nt ,0.0030447870937721578
rue,0.0030424182935677407
= ,0.003013610835098241
 in,0.0030092333789067203
resul,0.0029980249712217204
esult,0.0029928218099885195
 resul,0.002959736477609681
0;,0.0029520992007794444
true,0.0029510565997985317
sult,0.0029151062678439443
int ,0.002913767217727376
resu,0.002894540783039592
0; ,0.0028780660190605056
esul,0.0028577261612163047
 ret,0.002853547397363102
rn ,0.0028223156130792043
sul,0.002803955348956483
 retur,0.002789997358443523
 retu,0.0027871781744982223
result,0.002776972479866432
true;,0.0027728837795775196
 (,0.002746151906727068
turn ,0.0027271581108073415
rue;,0.0027088393030448967
urn ,0.002685160994507768
t ,0.002667712982945172
ue,0.0026537325026286594
um ,0.0025927733976080104
true; ,0.0025587182583629714
 tru,0.002554228222090304
rue; ,0.002538983682079164
retur,0.002513497245241222
turn,0.002511729224257844
 tr,0.002508443561509511
nt,0.0024953528840864496
 true;,0.002488544379143862
m ,0.0024822275720981462
", ",0.0024706000190312777
ult ,0.0024589733846390825
etur,0.0024572186462480114
tur,0.00245568256716213
ue;,0.002454647435910177
ue; ,0.0024539503237157824
et,0.0024480932334565815
the,0.0024391750580894673
 true,0.002429517303904307
ur,0.0024249885300252376
 - ,0.0024107999040273746
return,0.0024056967916128687
- ,0.002403807337053673
urn,0.0023850904089601334
 -,0.0023650657533925788
(int ,0.0023573384173097224
eturn,0.002352680293897346
sult ,0.0023420732767085754
(i,0.002341245985814239
esult ,0.002335632109891025
retu,0.002315711603044234
ret,0.0023087669740370796
+ ,0.0023078823967767094
rn,0.0023015652716917856
etu,0.002301227251423664
he,0.0022873291142785925
ls,0.002207008934913694
tu,0.002192087367820168
 + ,0.002178205188445528
 th,0.0021675542477259777
 0,0.002151521648982226
su,0.002148746109383615
 ma,0.002143002036734821
lt ,0.0021385435699991092
 res,0.0021203561423446555
ng,0.0021199823904450078
els,0.0020993782032356838
else,0.002082335451986538
lse,0.0020562706001157364
s),0.0020468987339095283
 +,0.0020384040698726564
 p,0.0020267120454388874
 f,0.002024916368618563
(int,0.0020209846394851107
ea,0.00201941746792621
an ,0.0020118191227240373
 b,0.0019869729262459966
el,0.0019820047109405164
ole,0.0019652223578785076
ic,0.0019532204300604875
 else ,0.0019456790488121811
 els,0.0019402381612808695
(in,0.0019307166600299262
else ,0.0019241400822795462
 == ,0.0019119628473977157
c ,0.00190691508101654
tr,0.0019029833755659087
 else,0.0018953676365579535
 num ,0.0018945061378731981
res,0.0018895550916135147
num ,0.0018695841410574857
esu,0.0018602660606041818
li,0.0018588155173393196
ubl,0.0018478558883227108
an,0.0018350580551012557
 pub,0.0018347013492504153
bo,0.0018329964917811728
 publi,0.0018135936958340133
public,0.001808484987946535
ubli,0.001803841098332658
se ,0.0018035170774731114
oolean,0.0017948691827939939
um; ,0.0017945322102277852
== ,0.0017900768655316366
publ,0.0017849249180172857
lic ,0.00178334072063449
 1,0.0017792995837287956
 publ,0.001773735994355602
nums),0.0017733012776119514
 pu,0.0017695688313736635
boole,0.001767417449915096
++),0.0017640941332479807
lic,0.0017629920449122151
oole,0.0017612785224517616
 ==,0.001761064766816288
ublic,0.0017570691216652178
ms),0.0017525807109746063
lean,0.0017513307858690154
boo,0.0017507110833526543
blic ,0.0017495387967014302
 n,0.0017480110186317503
blic,0.0017409615944269116
unt ,0.0017370741819565153
 bool,0.0017369355557939347
olean ,0.0017260733233751355
lse ,0.001721213279668921
ublic ,0.0017160482650919134
 el,0.0017150093410922336
)) ,0.001709248029005071
olean,0.0017064233900072714
ool,0.0017055038688651425
bl,0.00170470036022027
 boo,0.0017046503148007985
bli,0.001701987133876666
pub,0.0016957900080512526
pu,0.0016949617594071182
se,0.0016779743158702293
ums),0.0016776313563095404
publi,0.0016625377880151043
oolea,0.0016556621090325187
olea,0.001655398272483376
ic ,0.0016309002406501647
e ,0.0016308436070387418
boolea,0.0016297931837379242
bool,0.0016204329301357592
 e,0.0016200752496461743
 boole,0.001618251871518777
f ,0.0016175844553678288
um;,0.0016155442877686624
)),0.001603311800956564
lea,0.0015950127872628942
+),0.0015915066132118887
 m,0.0015811478405264269
ean,0.0015725792087191999
0),0.0015633803650270978
m; ,0.0015602157916126008
 ar,0.0015546128753313963
lean ,0.0015543376178923387
 if ,0.0015496867723188363
 2,0.0015466376650858835
ean ,0.0015458897908774433
oo,0.0015386881476869457
le,0.0015385598436308582
(b,0.0015309051333816668
t.,0.0015188398321212707
m;,0.0015138020908298897
< ,0.0014918494571158477
++,0.0014894163935254149
