feature,avg_importance
ul,0.025814176
rue;,0.015838893
: ,0.013410021
 // ,0.012232223
 res,0.011353032
 = ,0.01101313
/ ,0.010192114
 boo,0.01012689
alse;,0.009835266
if(,0.009673554
the,0.009495764
2),0.0093662515
 - ,0.00911706
ue,0.008897695
ru,0.00844771
tru,0.0073175933
ub,0.007218851
gth();,0.0058612796
'),0.00584792
 re,0.0057835374
um ,0.0056203865
res,0.0054566995
ue;,0.0054152375
fiz,0.00526716
count ,0.0047802227
ea,0.0045743943
 x,0.004550943
 ar,0.0043890537
0; ,0.0043744533
 if(,0.004363899
mat,0.0042554303
els,0.004250889
bs,0.0041106017
 num ,0.0041049384
bl,0.004071336
h;,0.004040821
in,0.0040068375
rue; ,0.0039786766
[j,0.0039053655
 0; ,0.0038977105
 max,0.0037502202
od,0.0037281048
0 ,0.0035835626
unt,0.003562242
(b,0.003513609
em,0.00349667
 0;,0.0034521373
+ ,0.0034452504
 els,0.003442316
esult ,0.003336499
 } ,0.0033279092
 (i ,0.0033140162
fi,0.0033100452
end,0.0032627308
rue,0.0032438678
0),0.0032223354
)) ,0.0031983452
un,0.003182029
m ,0.0031494752
 {,0.0031033456
il,0.0030890978
 +=,0.003052373
nt ,0.00303835
)),0.002992782
g(,0.0029870041
 { ,0.002985638
he,0.0029614633
(nums[,0.002896795
++; ,0.0028922178
 n,0.0028667315
.s,0.0028480464
el,0.0027626264
ys,0.0027424293
ing,0.002711573
.a,0.00267892
 resu,0.0026651951
) ,0.0026320538
ex,0.0026072287
 ma,0.0026041951
 int ,0.0025936356
gth() ,0.002569322
it,0.0025660554
]; ,0.002502961
0) ,0.0025005222
", ",0.0024918986
se ,0.0024859929
.sub,0.0024827207
alse; ,0.0024667652
e(,0.0024588872
tri,0.0024424987
 n ,0.0024421772
"a,",0.0023731063
(a ,0.0023631111
+),0.002360084
(i ,0.0023446076
 (,0.0023431175
 sum ,0.0023395764
 i+,0.002325301
ng,0.0023144188
 if,0.0022794013
st,0.0022596603
 (a ,0.0022512283
 b,0.0022481543
pe,0.0022461119
str,0.0022272323
1),0.002226983
 n;,0.0021906577
al,0.0021851344
ig,0.0021703274
ue; ,0.0021673832
[i,0.002157757
 10,0.0021467411
eturn ,0.002117335
lse,0.0021164985
arr,0.0020984877
ls,0.0020912196
rn,0.0020899808
ax,0.0020746735
ke,0.0020710274
als,0.002058251
etu,0.0020442295
as,0.0020386698
lt,0.0020342658
s(,0.0020313738
ld,0.0020297514
 nums,0.0020179017
at,0.0020114372
i],0.0020110775
ala,0.0020022122
een,0.001997725
 el,0.0019582587
 (st,0.0019516721
 2),0.0019404794
ength;,0.001937854
nt,0.0019307152
 -,0.0019207133
 c) ,0.0019120431
su,0.0018949962
 n; ,0.0018770773
 arr,0.0018744139
 te,0.0018696206
 |,0.0018687082
- ,0.0018671575
sum ,0.001864373
tr,0.001862997
n ,0.0018591234
 == ,0.0018566597
 +,0.0018524895
(str.,0.0018510628
r ,0.0018333148
ms,0.0018113451
j ,0.0018054842
re,0.0017947955
() ,0.0017856895
i+,0.0017789311
bu,0.001773588
s),0.0017584817
ed ,0.0017543398
xo,0.0017525031
esu,0.0017520679
else ,0.0017447753
 1;,0.0017435066
 >=,0.0017432175
++;,0.001735711
 fi,0.0017302622
int,0.0017219478
ms[i];,0.0017195637
""")",0.0017175361
dex,0.0017001742
stri,0.0016988422
(i,0.001698045
l ,0.0016976567
f(,0.0016921656
 += ,0.0016815055
[i] ,0.0016539505
//,0.0016441718
t;,0.0016411718
b ,0.0016355985
 p,0.0016353396
ount ,0.0016291081
t[,0.0016250263
ar,0.0016234345
len,0.0016034212
an ,0.0016024002
(nums,0.0015989282
(c,0.0015968153
t(i,0.0015911807
b;,0.0015904222
ni,0.0015899716
r.s,0.0015868922
 nums[,0.0015802885
es,0.0015748201
.su,0.0015711109
 m,0.001563943
int ,0.0015636368
 g,0.0015571315
 ==,0.0015538166
 ',0.0015500986
ast,0.0015478338
1;,0.0015274133
 >= ,0.0015229571
> ,0.0015206464
 3,0.0015136717
et,0.0015097202
 j,0.0015030513
l),0.0015029034
e),0.001500173
 1,0.0014976199
um,0.0014943389
 i++) ,0.001492431
(int ,0.0014888884
ring,0.001488335
 <= ,0.0014696306
 t,0.001468732
 > ,0.0014628604
(nu,0.0014606251
 i,0.0014597519
];,0.0014482003
>=,0.0014454003
 (i,0.0014420879
er ,0.0014416941
if,0.0014388312
an,0.0014320131
 nums),0.0014241018
h(,0.001418006
(a,0.0014049746
se,0.0013984236
ui,0.0013958678
e(i,0.0013863828
 || ,0.0013841991
[i],0.0013767832
ed,0.0013690079
ms[,0.001362428
ms.,0.0013604824
max,0.0013594958
 5,0.0013569163
 r,0.001348727
ma,0.0013477115
mp,0.0013464792
 =,0.0013414943
] ,0.0013336836
br,0.0013274215
en,0.0013261783
 13,0.0013227857
lse ,0.0013191467
(s,0.0013154806
 s,0.0013130073
 a ,0.0013128909
; ,0.001310389
t(,0.0013079317
(i),0.0013021525
dd,0.0012978461
sm,0.0012865294
10,0.001282857
 2;,0.0012787472
0;,0.0012704739
 &,0.0012693031
e ,0.0012648266
b),0.0012624669
m;,0.0012595078
last,0.0012548374
 %,0.0012502823
 int[],0.0012501765
+) ,0.0012494944
iz,0.0012444415
(str,0.0012433283
at(i),0.0012410597
er,0.0012335702
 b ,0.0012311923
ic,0.001227793
" """,0.0012249639
t ,0.00122425
nd,0.0012220187
x ,0.0012198992
[] ,0.0012109183
 i ,0.0011978182
&&,0.0011957643
mi,0.0011875643
 2,0.001184052
!=,0.0011835722
 a,0.0011809117
 },0.0011802437
 f,0.0011734536
ean,0.0011721553
 bo,0.0011712684
ol,0.0011683251
 (n,0.0011671755
ep,0.0011647904
 (nu,0.0011597394
a ,0.0011593422
le,0.0011555615
 int,0.0011496363
 + ,0.0011495514
 0,0.0011463059
 i++),0.0011441222
 < ,0.0011420031
la,0.0011276929
e;,0.0011248873
int[],0.0011185654
= ,0.0011118483
bi,0.0011061886
 v,0.0011019125
(str.c,0.0010970284
c),0.0010950695
2) ,0.0010949154
 (nums,0.0010907666
tu,0.0010884884
va,0.0010872927
or,0.0010833231
tem,0.0010805798
1] ,0.001078329
ring ,0.0010726389
ain,0.0010616087
3),0.0010591417
ere,0.0010549459
 <,0.001045349
al ,0.0010443914
 1; ,0.0010398196
ount,0.0010378619
g ,0.001032978
& ,0.0010322398
arat(i,0.0010312665
{ ,0.0010292811
rr,0.0010245865
 >,0.001023624
wi,0.0010178037
ms[i],0.0010150301
th,0.0010125729
1; ,0.0010006905
 (str.,0.0009973865
s;,0.0009944577
ength ,0.0009895666
hi,0.0009889405
te,0.00096964865
 tr,0.0009675281
+=,0.0009584009
ne,0.00095404
 st,0.0009538316
 e,0.0009534478
(),0.0009486682
++,0.00094719836
 else ,0.0009419746
 len,0.00094166026
s[i]; ,0.0009409096
n;,0.00094032474
sp,0.0009402824
ri,0.00092473166
(n,0.00091340276
 2 ,0.00090960704
 fo,0.0009091199
[n,0.0009077052
h ,0.00089977786
 !,0.00089743896
s ,0.00089227647
ra,0.0008921929
r.,0.0008896262
ms[i] ,0.0008893417
 l,0.00088553573
ay,0.0008834417
 in,0.0008831417
fa,0.0008808584
e; ,0.00087669864
arra,0.0008765116
 &&,0.0008750885
);,0.00087290467
ha,0.0008724701
i ,0.00086998305
++),0.0008678149
 ret,0.00086702826
-1,0.00086591445
 for(,0.00086567417
ts,0.00086334144
ft,0.0008620248
.l,0.0008604449
(in,0.0008563836
(is,0.00084992475
s.,0.0008494386
.subs,0.0008487569
(int[,0.00084482634
 str.l,0.00084237225
de,0.0008418215
c ,0.0008360079
ur,0.00083472626
ch,0.00083109195
ee,0.0008297826
her,0.00082701765
 str,0.00082488003
2 ,0.00082216755
 w,0.0008185754
 nu,0.00081397034
(int,0.0008129546
 6,0.0008111562
== ,0.0008109951
ro,0.000804536
 pu,0.00079401786
" a,",0.00078302505
r(,0.0007810999
ir,0.00077951176
i++,0.00077529275
li,0.000771794
 fa,0.00077005866
rs,0.0007688005
 stri,0.00076877663
[],0.00075744523
f ,0.0007480961
las,0.0007337324
for,0.00073186925
2;,0.00073013897
 (str,0.00072885794
 0 ,0.0007240209
sa,0.00072278886
 (s,0.00072193576
 true;,0.0007200187
ef,0.0007101609
sma,0.0007093344
1 ,0.0007089304
ms),0.0007058374
ca,0.0006984951
rn ,0.00069734064
ou,0.0006951447
< ,0.00069212884
sum,0.0006866727
==,0.00068661175
lea,0.00068648974
1],0.0006832456
d ,0.0006801591
 c,0.0006791611
 ne,0.0006762761
di,0.00067554635
 new ,0.00066474103
esul,0.00066172483
ce,0.00066034065
ai,0.0006596905
fix,0.0006549274
} ,0.0006540189
(); ,0.00065080455
 //,0.0006507641
