feature,avg_importance
/ ,0.06431467923202477
 = ,0.03187428665931232
 // ,0.026075815901125957
) ,0.020359140392231696
 (,0.02019474386114265
(b,0.014120942029188923
f(,0.013273154011810426
; ,0.013242130653469082
// ,0.012973569868630018
 { ,0.010471111118327207
re,0.010110917029670713
)) ,0.009763922257579606
 the ,0.009643504531274638
 =,0.009402562447804238
lse,0.009324886843306443
 0;,0.009223749491682521
 -,0.008795422452203959
 {,0.008484667060765195
 f,0.0081473215447694
 i++) ,0.008021527177621453
ub,0.008005937504913888
0),0.007861700522724575
= ,0.0075994716077271394
 b,0.00750068756123499
i+,0.007322414064785504
de,0.006501226445052427
: ,0.0064993303219900945
==,0.006376542501260098
 0,0.006336406898229074
len,0.006262846926700813
ue,0.006230996539562702
n ,0.005607975289632606
 2,0.005456639960588914
 str,0.00528159459316738
 1,0.005249175399298824
gth() ,0.0051841729251311305
ls,0.005094067863428798
 p,0.005028857581268066
 if(,0.005017590563486877
i ,0.0049385541942023525
nc,0.004877553680049931
ex,0.00484625849132432
su,0.00482308906591673
 int,0.004778797642807147
tring ,0.0047762911598159185
);,0.0047122863379957195
 } ,0.004632449125206756
s.,0.004577568691546484
 str.,0.004474952965901602
0;,0.004415379406962171
ic,0.004381071818346148
um ,0.004282094442918929
 els,0.004249301656008334
ul,0.004180631920487808
 (nums,0.004150174836572893
ra,0.004149863579521433
 i,0.004142103830095746
)),0.004093731990192333
bl,0.004028693540597613
the,0.004014752789224024
min,0.0039440731750528405
(),0.003939819693678015
th,0.0038871842366006077
else,0.003842945420331931
als,0.0038064775288894014
 (s,0.003788010090997041
++,0.003723867140737448
e;,0.003689209700274313
(a,0.00368102203817761
 new,0.003668301240555638
(i,0.0036652633324172103
tru,0.003659116778547901
 re,0.0034753491445697424
r ,0.0034743487194140387
[] ,0.0034652713224356236
 (i,0.003443039743341917
t ,0.0034276706020233178
nd,0.0034158738232636806
 else,0.0034102883681033217
 0; ,0.0034036310042654637
 a ,0.003381526671688403
 - ,0.003286003307733961
 i ,0.003255249046300548
 10,0.0032511674494311916
a ,0.0031915499996801517
se,0.0031870092205257207
> ,0.003155179653606217
in,0.003131088332790512
 += ,0.003088561904853162
(n,0.003051881394941278
 &,0.003043601107485765
(nums[,0.00299286047718107
h ,0.002972988948244261
ne,0.0029541022259265866
if(,0.002951308144544013
 (num,0.002948499922855172
); ,0.002810098023224187
 r,0.002718605223730497
{ ,0.0026995342532077655
 (n,0.0026846685827734717
l ,0.0026764593071940714
ld,0.0026492794468091986
tr,0.002618261000658555
 +,0.00261285650715947
 e,0.002559286972545653
t.,0.0025208337496215785
t;,0.0025116352345735827
 s,0.002466007380855779
int,0.0024514089433681375
em,0.002413825362972981
(s,0.0024077130698678807
 != ,0.0023759474108743725
(c,0.002364721314470487
nt ,0.0023410776764791023
sult ,0.002337370497507885
he,0.002263338700405769
ti,0.002239152542937324
 la,0.0022193262886197056
nt,0.002205795955701601
 !,0.002198025584750975
er,0.0021884463712851816
fa,0.002185001809466219
la,0.002166011897746832
} ,0.002151169648907081
(int ,0.0021201939466526554
e ,0.002075929733437821
10,0.0020618657778745273
g ,0.0020499434534603568
esult ,0.001986663160000284
 1;,0.0019555632091667087
ult ,0.0019493860609467104
[],0.0019293886744413376
t; ,0.0019271266731296266
il,0.0019086113700149717
0; ,0.0018793600064162417
+ ,0.001871526799820917
alse; ,0.0018626491446210678
t(i,0.001839432775890143
c ,0.0018373120608163374
lt ,0.0018321494604964835
al,0.0018269153938055558
co,0.0018211144839392942
] ,0.001818706135562647
 <,0.001817003362727757
end,0.0017572691970344167
.l,0.0017550799920830324
 (nu,0.00174829661608844
 a,0.0017472912495674474
 == ,0.0017419888934851776
ms[i] ,0.0017418442962173347
un,0.0017190191496080655
ur,0.0017051768153517276
ng,0.0017009844940675477
1 ,0.0016885741440128734
 t,0.0016813055904149458
p ,0.0016559754348134529
 if,0.0016334736228374328
 nums,0.0016113814908797661
 m,0.0015974550867884185
 te,0.0015879021677421906
||,0.0015793041720916115
(nums,0.0015756028282923138
ent,0.001544777112752224
if,0.0015437624489678934
 el,0.001515783903628852
!=,0.0015130620555693203
 st,0.0014865290464075762
t[,0.001471542145607807
 (int ,0.0014647906718503697
et,0.001457707855782771
str,0.0014576632619622907
 1; ,0.0014549754780991927
as,0.001442549987375123
el,0.0014369449938130491
ed ,0.00142066722766581
le,0.001403378433560696
 c) ,0.0013939758962525884
(i ,0.0013782288673645467
lse; ,0.0013631894719644754
num ,0.001361316002618313
- ,0.0013577777952895483
ir,0.001357326205007981
um,0.0013429206985169097
", ",0.001329997084052772
int ,0.0013192062534779889
ic ,0.0013069019527012398
1;,0.0012967759911287294
 >= ,0.0012948083452945344
 ma,0.0012588250902005325
ay,0.0012550985085915468
h;,0.0012476266670845872
eck ,0.0012110969932963794
sp,0.0012085614125137167
0 ,0.0012003412990867965
 >,0.0011954297995967346
ere,0.0011909416246335743
//,0.0011888734414043187
to,0.0011838722988797652
ho,0.0011752322797034895
s(,0.0011715328047771337
+= ,0.0011693328941612072
ed,0.0011636958799829866
 int ,0.0011553930896685833
ubl,0.0011522999020561744
 i++,0.0011500187794502438
hi,0.0011009552303467476
bu,0.0010763879223967807
1; ,0.0010463544591977506
ru,0.0010389695712932207
e(,0.001026479566126554
rn,0.0010264153088958938
no,0.0010156284396550315
 +=,0.0009944596384652215
th() ,0.0009909825614701387
 su,0.0009892195785815602
[i,0.0009872809385583852
va,0.0009815320256647592
 ',0.0009720739749493599
 sum ,0.0009683602378707073
heck ,0.0009648852108773847
r) ,0.0009610255942152368
n),0.0009605034345855051
lo,0.0009601716848998064
ig,0.0009597792550140975
++),0.0009569353513848031
check ,0.0009359280411213054
en,0.0009331208041065324
irs,0.0009261756635886431
ea,0.000923160761754279
een,0.0009085867740176639
0) ,0.0008955539954663725
 /,0.0008928044781960117
h() ,0.0008911259227276199
 <= ,0.0008882952752183807
it,0.0008620731772429807
 + ,0.0008572821742346666
 5,0.0008558488305631544
));,0.000855837237409401
r),0.0008470581559949148
ni,0.0008404907336076644
al ,0.0008318614647382634
the ,0.0008242402524466212
bs,0.0008237156007305434
 if ,0.0008108056037788243
r(,0.0008070873614892285
sult,0.0008039280671010382
sum ,0.0008035692331997299
1),0.0007959320635033408
f ,0.00078922718922918
];,0.0007789730876750926
or,0.0007682671909407306
ult,0.0007636906749664116
(str,0.0007589838674828671
for,0.000742730241995102
 in,0.0007346848659539392
(st,0.0007317988373744103
 check,0.0007272036182198148
 (int,0.0007206134188307397
 va,0.0007176706931615715
 //,0.0007148065555100026
+),0.0007111332601793727
 c,0.0007051878619487345
+=,0.0007042755955439343
st,0.0007014107641584691
 n,0.0007001041398481419
ri,0.0007001009684050427
resul,0.0006976084549895582
+) ,0.0006947518110732567
&&,0.0006899207960395468
nums,0.0006864858330895239
t(,0.0006811070723388243
mi,0.0006777891180880269
&& ,0.0006712654753420909
!= ,0.0006711267809366129
(int,0.0006703674301492273
 b ,0.0006601391249898773
"a, ",0.0006465562899547246
b),0.0006459423922034191
tri,0.0006426096170504317
 ret,0.0006402457322740892
r.,0.0006368279333380452
(num,0.0006366863226766133
at,0.0006260599742611649
lt,0.0006213374356080158
lse;,0.0006203511456153333
 },0.0006196676595599071
 l,0.0006067498703119586
 the,0.0006051873499938819
>=,0.0005999829956408781
c) ,0.0005928324744634802
.sub,0.0005856220995326078
esu,0.0005837824383696723
 !=,0.0005738159335709288
 ==,0.0005717949124234385
 2),0.000564287834843381
result,0.0005640735083912203
ol,0.0005589037672880551
se ,0.0005584440509371038
arr,0.000554613245287296
sul,0.000554107917953747
int[,0.0005538846010989649
gh,0.0005475298418139634
an,0.000547171812750757
