ID,Code,prompt,label,PromptType
abf967f4-bcce-4233-8236-f7a6175040c1,"public int redTicket(int a, int b, int c) {
    if(a==2 && b==2 && c==2) {
        return 10;
    }
    else if(a==b && b==c) {
        return 5;
    }
    else if(a!=b && a!=c && b!=c) {
        return 1;
    }
    else {
        return 0;
    }
}","Write a Java function to implement the following logic:

You have a red lottery ticket displaying integers a, b, and c, where each value can only be 0, 1, or 2. If all values are 2, the result is 10. Otherwise, if all values are the same, the result is 5. Otherwise, if both b and c are different from a, the result is 1. Otherwise, the result is 0.

public int redTicket(int a, int b, int c)
{
    
}",0,6
0d001458-5fa4-48d4-abe6-9ee83dc389c9,"public int luckySum(int a, int b, int c) {
    int sum = 0;
    boolean skip = false;

    if (a == 13) {
        skip = true;
    } else {
        sum += a;
    }

    if (!skip && b == 13) {
        skip = true;
    } else if (!skip) {
        sum += b;
    }

    if (!skip && c == 13) {
        skip = true;
    } else if (!skip) {
        sum += c;
    }

    return sum;
}","Write a Java function that implements the following logic: Given three integer values a, b, and c, return their sum. However, if any of the values is 13, that value will not be included in the sum, and any value to its right will also be excluded. For example, if b is 13, then both b and c will not be included in the sum.
public int luckySum(int a, int b, int c)
{
    
}",0,6
d2b55780-850d-41f3-80fb-a9f677e15b4f,"public boolean love6(int a, int b) {
    if (a == 6 || b == 6) {
        return true;
    }
    int sum = a + b;
    int difference = Math.abs(a - b);
    if (sum == 6 || difference == 6) {
        return true;
    }
    return false;
}","as a cs1 student you are trying to solve this assignment, how would you solve it
The number 6 is a truly great number. Given two int values, a and b, return true if either one is 6. Or if their sum or difference is 6. Note: the function Math.abs(num) computes the absolute value of a number.
public boolean love6(int a, int b)
{
    
}",0,3
e12491c0-9e80-4324-8465-c33990877ab5,"public String repeatEnd(String str, int n) {
  return str.substring(Math.max(0, str.length() - n));
}","Solve this ""
Write a function in Java that implements the following logic: Given a string and an int n, return a string made of n repetitions of the last n characters of the string. You may assume that n is between 0 and the length of the string, inclusive.
public String repeatEnd(String str, int n)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",0,5
4091f74e-d804-4105-83d3-e8201d83115d,"public int[] tenRun(int[] nums) {
    for(int i=0; i<nums.length; i++) {
        if(nums[i] % 10 == 0) {
            for(int j=i; j<nums.length; j++) {
                if(nums[j] % 10 == 0 && nums[j] != nums[i]) {
                    break;
                }
                nums[j] = nums[i];
            }
        }
    }
    return nums;
}

java
public int[] tenRun(int[] nums) {
    int lastMultiple = -1;
    for(int i=0; i<nums.length; i++) {
        if(nums[i] % 10 == 0) {
            lastMultiple = nums[i];
        } else {
            nums[i] = lastMultiple;
        }
    }
    return nums;
}","For each multiple of 10 in a given array, change all subsequent values to that multiple of 10 until another multiple of 10 is encountered. For example, {2, 10, 3, 4, 20, 5} becomes {2, 10, 10, 10, 20, 20}.

public int[] tenRun(int[] nums)
{
    
}",0,6
f703f7aa-44a4-4e15-b760-a55777eb1085,"public int noTeenSum(int a, int b, int c) {
    return fixTeen(a) + fixTeen(b) + fixTeen(c);
}

public int fixTeen(int n) {
    if (n >= 13 && n <= 14 || n >= 17 && n <= 19) {
        return 0;
    }
    return n;
}","Solve this ""
Write two methods in Java that implements the following logic: Given 3 int values, a, b, and c, return their sum. However, if any of the values is a teen--in the range 13..19 inclusive--then that value counts as 0, except 15 and 16 do not count as teens. Write a separate helper method called fixTeen() that takes in an int value and returns that value fixed for the teen rule. In this way you avoid repeating the teen code 3 times (i.e. ""decomposition"").
public int noTeenSum(int a, int b, int c)
{

}

public int fixTeen(int n)
{
    
}

""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",0,5
8ac5c506-be74-4b4a-992f-3f1722e49a79,"public int sortaSum(int a, int b) {
    int sum = a + b;
    if (sum >= 10 && sum <= 19) {
        sum = 20;
    }
    return sum;
}","""Write a Java function named sortaSum that takes two integer parameters, a and b, and returns their sum. However, if the sum falls within the range of 10 to 19 (inclusive), the function should return 20 instead of the actual sum.

For example:

If a = 5 and b = 6, the sum is 11, which is within the forbidden range, so the function should return 20.

If a = 7 and b = 3, the sum is 10, which is within the forbidden range, so the function should return 20.

If a = 9 and b = 4, the sum is 13, which is within the forbidden range, so the function should return 20.

If a = 10 and b = 20, the sum is 30, which is outside the forbidden range, so the function should return 30.

Complete the following function:

java
Copy
public int sortaSum(int a, int b) {
    // Your code here
}
Ensure that the function handles all edge cases and adheres to the specified logic.""",0,4
c55d4d10-0d33-481a-a03d-4fd910d4ab22,"public boolean twoTwo(int[] nums) {
    boolean seen = false;

    for (int i = 0; i < nums.length; i++) {
        if (nums[i] == 2) {
            if (seen && i > 0 && nums[i-1] != 2) {
                return false;
            }
            if (i < nums.length - 1 && nums[i+1] != 2) {
                return false;
            }
            seen = true;
        } else {
            seen = false;
        }
    }

    return true;
}","Given an integer array, return true if every occurrence of 2 in the array is adjacent to another 2. Otherwise, return false.

public boolean twoTwo(int[] nums)
{
    
}",0,6
52fab1a5-8dda-4bfa-b2b6-ba0cb7aaa0e9,"public String mixString(String a, String b) {
    StringBuilder sb = new StringBuilder();
    int maxLength = Math.max(a.length(), b.length());
    for (int i = 0; i < maxLength; i++) {
        if (i < a.length()) {
            sb.append(a.charAt(i));
        }
        if (i < b.length()) {
            sb.append(b.charAt(i));
        }
    }
    return sb.toString();
}","Solve this ""
Write a function in Java that implements the following logic: Given two strings, a and b, create a bigger string made of the first character of a, the first character of b, the second character of a, the second character of b, and so on. Any leftover characters go at the end of the result.
public String mixString(String a, String b)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",0,5
e6fcf297-5424-4588-8aff-e341e7c9b75e,"public int[] withoutTen(int[] nums) {
    int n = nums.length;
    int j = 0;
    for (int i = 0; i < n; i++) {
        if (nums[i] != 10) {
            nums[j] = nums[i];
            j++;
        }
    }
    while (j < n) {
        nums[j] = 0;
        j++;
    }
    return nums;
}","Solve this coding assignment ""
Given an int[] array, write a function that returns an array where all the 10's have been removed. The remaining elements should shift left towards the start of the array as needed, and the empty spaces at the end of the array should be set to 0. So {1, 10, 10, 2} yields {1, 2, 0, 0}. You may modify and return the given array or make a new array.
public int[] withoutTen(int[] nums)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019.",0,2
