ID,Code,Prompt
4d5f74f4-4e23-449c-99f1-dce617590564,"public boolean has77(int[] nums) {
    for (int i = 0; i < nums.length - 1; i++) {
        if (nums[i] == 7 && nums[i + 1] == 7) {
            return true;
        }
        if (i < nums.length - 2 && nums[i] == 7 && nums[i + 2] == 7) {
            return true;
        }
    }
    return false;
}","Solve this coding assignment ""
Given an array of ints, return true if the array contains two 7s next to each other, or there are two 7s separated by one element, such as with {7, 1, 7}. Otherwise, return false.
public boolean has77(int[] nums)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019."
e4a310f3-7788-49bd-ae01-c22e431ade07,"public boolean xyBalance(String str) {
    int lastIndexOfX = str.lastIndexOf('x');
    int lastIndexOfY = str.lastIndexOf('y');
    return lastIndexOfX == -1 || lastIndexOfY > lastIndexOfX;
}","Solve this ""
We'll say that a string is xy-balanced if for all the 'x' characterss in the string, there exists a 'y' character somewhere later in the string. So ""xxy"" is balanced, but ""xyx"" is not. One 'y' can balance multiple 'x's. Return true if the given string is xy-balanced.
public boolean xyBalance(String str)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution."
198066f5-1c54-4974-b320-c14a36a5d209,"public boolean twoTwo(int[] nums) {
    for (int i = 0; i < nums.length; i++) {
        if (nums[i] == 2) {
            if (i == nums.length - 1 || nums[i + 1] != 2) {
                return false;
            }
            i++;
        }
    }
    return true;
}","Solve this coding assignment ""
Given an array of ints, return true if every 2 that appears in the array is next to another 2. Otherwise, return false.
public boolean twoTwo(int[] nums)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019."
442160da-3fda-422a-b881-e6b1ba09709a,"public boolean has77(int[] nums) {
    for (int i = 0; i < nums.length - 1; i++) {
        if (nums[i] == 7 && (nums[i + 1] == 7 || (i + 2 < nums.length && nums[i + 2] == 7))) {
            return true;
        }
    }
    return false;
}","Solve this ""
Given an array of ints, return true if the array contains two 7s next to each other, or there are two 7s separated by one element, such as with {7, 1, 7}. Otherwise, return false.
public boolean has77(int[] nums)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution."
096ee3f4-8c55-46bd-8652-620ef6e0c6ce,"public int greenTicket(int a, int b, int c) {
    if (a == b && b == c) {
        return 20;
    } else if (a == b || b == c || a == c) {
        return 10;
    } else {
        return 0;
    }
}","Solve this ""
You have a green lottery ticket, with ints a, b, and c on it. If the numbers are all different from each other, the result is 0. If all of the numbers are the same, the result is 20. If two of the numbers are the same, the result is 10.
public int greenTicket(int a, int b, int c)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution."
2cb13ab6-cc88-4630-a7c1-eb0ca4b126f3,"public int greenTicket(int a, int b, int c) {
    if (a == b && b == c) {
        return 20;
    } else if (a == b || b == c || a == c) {
        return 10;
    } else {
        return 0;
    }
}","Solve this coding assignment ""
You have a green lottery ticket, with ints a, b, and c on it. If the numbers are all different from each other, the result is 0. If all of the numbers are the same, the result is 20. If two of the numbers are the same, the result is 10.
public int greenTicket(int a, int b, int c)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019."
fcf7b93d-09c4-4fb5-9c54-d4fd5da96c7e,"public int greenTicket(int a, int b, int c) {
    if (a == b && b == c) {
        return 20;
    } else if (a == b || b == c || a == c) {
        return 10;
    } else {
        return 0;
    }
}","Solve this ""
You have a green lottery ticket, with ints a, b, and c on it. If the numbers are all different from each other, the result is 0. If all of the numbers are the same, the result is 20. If two of the numbers are the same, the result is 10.
public int greenTicket(int a, int b, int c)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution."
fad62841-fe19-4cf5-add8-e1f0c74dec8b,"public int greenTicket(int a, int b, int c) {
    if (a == b && b == c) {
        return 20;
    } else if (a == b || b == c || a == c) {
        return 10;
    } else {
        return 0;
    }
}","You have a green lottery ticket, with ints a, b, and c on it. If the numbers are all different from each other, the result is 0. If all of the numbers are the same, the result is 20. If two of the numbers are the same, the result is 10.
public int greenTicket(int a, int b, int c)
{
    
}"
8a74b23b-c31d-4901-a70a-ea4a0e41a351,"public int sum3(int[] nums) {
    return nums[0] + nums[1] + nums[2];
}","Given an array containing three ints, return the sum of all the elements.
public int sum3(int[] nums)
{
    
}"
0ef769e5-5337-4df5-be00-33aea3556339,"public boolean twoTwo(int[] nums) {
    for (int i = 0; i < nums.length; i++) {
        if (nums[i] == 2) {
            if (i + 1 < nums.length && nums[i + 1] == 2) {
                i++;
            } else {
                return false;
            }
        }
    }
    return true;
}","Solve this ""
Given an array of ints, return true if every 2 that appears in the array is next to another 2. Otherwise, return false.
public boolean twoTwo(int[] nums)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution."
ffaa4e8c-7490-4f91-8995-57e99dd88b34,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep) {
    if (isAsleep) {
        return false;
    }
    if (isMorning && !isMom) {
        return false;
    }
    return true;
}","Solve this ""
Write a function in Java that implements the following logic: Your cell phone rings. Return true if you should answer it. Normally you answer, except in the morning you only answer if it is your mom calling. In all cases, if you are asleep, you do not answer.
public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution."
4c4c953d-8453-4881-8103-c627ac4d9d52,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep) {
    if (isAsleep) {
        return false;
    }
    if (isMorning && !isMom) {
        return false;
    }
    return true;
}","Solve this ""
Write a function in Java that implements the following logic: Your cell phone rings. Return true if you should answer it. Normally you answer, except in the morning you only answer if it is your mom calling. In all cases, if you are asleep, you do not answer.
public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution."
dd736e09-37ce-4d43-b274-70b1fd6b79f0,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep) {
    if (isAsleep) {
        return false;
    }
    if (isMorning && !isMom) {
        return false;
    }
    return true;
}","Solve this ""
Write a function in Java that implements the following logic: Your cell phone rings. Return true if you should answer it. Normally you answer, except in the morning you only answer if it is your mom calling. In all cases, if you are asleep, you do not answer.
public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution."
d71caeee-7c28-47af-93d0-a176af98a968,"public boolean has77(int[] nums) {
    for (int i = 0; i < nums.length - 1; i++) {
        if (nums[i] == 7 && (nums[i + 1] == 7 || (i + 2 < nums.length && nums[i + 2] == 7))) {
            return true;
        }
    }
    return false;
}","Solve this ""
Given an array of ints, return true if the array contains two 7s next to each other, or there are two 7s separated by one element, such as with {7, 1, 7}. Otherwise, return false.
public boolean has77(int[] nums)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution."
