feature,avg_importance
 // ,0.07510565
/ ,0.050979543
ult,0.036394693
alse;,0.024561493
lt,0.01925357
if(,0.017523112
0; ,0.016049184
esult ,0.012328399
ru,0.010683383
: ,0.010540482
ma,0.009749563
ppe,0.009240723
rst,0.008898647
 = ,0.0088943355
tru,0.007958255
lse,0.0078032445
)) ,0.007385646
 if(,0.007335591
cl,0.00733351
(n,0.0071811927
pp,0.0065243565
um ,0.006464407
 la,0.006366448
 re,0.0063533713
0),0.0063468944
 st,0.006336023
"a,",0.006288581
ti,0.006096957
g ,0.0056131524
.s,0.005401681
0;,0.0049637677
els,0.0049611754
(nums,0.004817189
 the ,0.004712769
(i ,0.0046668453
nt,0.0046446063
 e,0.004574527
ul,0.0043741763
lt ,0.0041893455
num ,0.0041827206
+ ,0.004115595
 n,0.0040880567
the,0.004082411
i+,0.0040313075
 boo,0.0039851586
to,0.0038697314
 0,0.0038601968
 str.,0.0038222515
ax,0.0037911204
ol,0.0036520725
um,0.0036373478
(c,0.0036209542
ue,0.0035608849
fo,0.0035568168
f(,0.0035107792
 p,0.0033980235
 2 ,0.0033971511
ra,0.0033662657
 (nu,0.003362646
 +,0.0033625553
(a,0.0033230311
"(""",0.0032312085
su,0.0032268665
 { ,0.0032100137
];,0.0032009047
alse; ,0.0031742745
; ,0.0031462773
as,0.0031418342
ms.,0.0031296199
ic,0.0031175676
the ,0.0031116714
rue,0.0030347186
ms[,0.0030269881
 {,0.0029131193
", ",0.0028662654
[i ,0.0028499567
ex,0.002848918
< ,0.0028456291
 n ,0.0028067657
b) ,0.0027453336
(b,0.0026927984
1;,0.0026926417
 !,0.0026655481
[] ,0.0026470327
de,0.0026115545
rn,0.0025872332
mp,0.0025713919
r ,0.0025234758
cu,0.0024965699
r(,0.00246689
rue;,0.0024286692
t.,0.0023875446
le ,0.002384792
int,0.002357125
fir,0.0023438358
 g,0.0023204412
 (,0.002307808
dex,0.002307788
 (in,0.0022830328
 2),0.0022536865
len,0.002253626
max,0.002214082
 nums,0.0022033814
 bo,0.00219263
 (int,0.0021769742
 fi,0.002145043
(a ,0.0021407802
(i,0.002102487
 (nums,0.0020797255
al,0.0020531598
 == ,0.0020529965
ay,0.0020365643
nc,0.0020326043
 (i,0.0020272743
10,0.0020119646
++;,0.0019093326
str,0.00186685
h;,0.0018588667
ub,0.0018491824
 |,0.0018384011
li,0.0018343155
();,0.0018289767
ms[i,0.0018265836
lu,0.0018104108
re,0.0018064599
s.,0.0017944564
ng,0.0017928772
arg,0.0017518826
 nums),0.0017484489
 5,0.0017438461
+),0.0017252172
et,0.0017176208
 the,0.001712549
 int,0.0017118173
 res,0.0017056547
(int ,0.001689279
lar,0.0016859111
ls,0.0016714128
= ,0.0016703026
 (s,0.0016558736
if,0.0016508676
an ,0.0016398202
ir,0.0016167192
 if,0.0016144331
 >= ,0.0016006597
""";",0.0015994918
 b,0.0015837412
> ,0.0015818535
va,0.001571106
tr,0.0015710102
ic ,0.0015696621
i],0.0015675043
 2,0.0015672215
 in,0.0015667494
!=,0.0015646829
n ,0.0015557974
or,0.0015532476
gth() ,0.0015261583
 } ,0.0015093003
in,0.0015017511
nd,0.00148507
 l,0.0014822233
 a ,0.0014784394
 =,0.0014520736
bl,0.0014486351
(nums[,0.0014389135
b),0.0014257499
ur,0.0014196822
it,0.001415462
 boole,0.0014116855
ind,0.0014034676
 2) ,0.0014015586
rs,0.0014015376
 nums[,0.0013995342
ri,0.0013981472
c),0.0013912013
 pu,0.0013867222
 (a,0.0013824265
{ ,0.0013729573
 },0.0013625319
c ,0.0013528196
 <,0.0013512265
)),0.0013475965
0 ,0.0013442297
t;,0.0013399125
1),0.0013396577
e;,0.0013313364
i ,0.0013147022
ast,0.0013113783
 + ,0.0012931838
firs,0.0012899742
[i,0.0012798533
.su,0.0012784845
 s,0.0012745026
 i+,0.0012716847
a ,0.0012508838
mi,0.001233745
 w,0.0012318444
 +=,0.0012310968
la,0.0012250287
tri,0.0012228318
(int,0.0012197628
(str.,0.0012182416
em,0.001212097
t[,0.0012041766
fi,0.0011948156
 i,0.001191761
(in,0.0011840436
t ,0.001179213
ent,0.0011753138
ubl,0.0011635172
th,0.001160767
 <=,0.0011485132
 f,0.0011335446
tring ,0.0011280295
nums,0.0011271249
e ,0.0011246218
 ==,0.0011193743
 su,0.0011178495
 1,0.0011115157
);,0.0011107348
 6,0.0011064252
 !=,0.0010992048
ms,0.0010901403
) ,0.0010799328
m;,0.0010775276
h ,0.001075278
1],0.0010747296
 b ,0.0010680391
(s,0.0010669613
al ,0.0010664352
s),0.0010653829
 0;,0.0010464728
1 ,0.0010394786
""")",0.0010336696
 if ,0.001033202
t; ,0.001030662
nt ,0.0010287417
ren,0.0010277383
for,0.0010272851
 int ,0.0010188321
rre,0.0010157758
" a,",0.0010132813
[],0.0010057602
l ,0.0010020809
++; ,0.00099744
 += ,0.000990603
 i ,0.0009842193
"b, ",0.0009825848
cou,0.0009815858
als,0.0009784112
he,0.0009636499
ar,0.0009576421
ck,0.0009502593
 i++) ,0.0009372903
 0; ,0.0009235918
 sta,0.0009215557
 &&,0.00092025445
] ,0.0009164129
end,0.0009143087
p ,0.0009079399
lse;,0.0009036537
 < ,0.00090005307
le,0.0008951458
[i],0.0008942175
