ID,Code,prompt,PromptType
0b740c7d-8592-4445-9eb7-97cb73fdc7fc,"public int luckySum(int a, int b, int c) {
    int sum = 0;
    
    if (a == 13) {
        return sum; // If a is 13, we ignore a, b, and c
    } else {
        sum += a;
    }
    
    if (b == 13) {
        return sum; // If b is 13, we ignore b and c
    } else {
        sum += b;
    }
    
    if (c == 13) {
        return sum; // If c is 13, we ignore c
    } else {
        sum += c;
    }
    
    return sum;
}","Write a Java function that implements the following logic: Given three integer values a, b, and c, return their sum. However, if any of the values is 13, that value will not be included in the sum, and any value to its right will also be excluded. For example, if b is 13, then both b and c will not be included in the sum.
public int luckySum(int a, int b, int c)
{
    
}",6
7e76b1f4-aeac-4bc8-a971-f17ffeaa22f0,"public int countClumps(int[] nums) {
    int clumps = 0;
    int i = 0;
    while (i < nums.length) {
        int count = 0;
        int value = nums[i];
        while (i < nums.length && nums[i] == value) {
            count++;
            i++;
        }
        if (count >= 2) {
            clumps++;
        }
    }
    return clumps;
}","Solve this ""
Say that a ""clump"" in an array is a series of 2 or more adjacent elements of the same value. Return the number of clumps in the given array.
public int countClumps(int[] nums)
{
    
}

""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
0ef0c748-c00e-422e-8dc2-e32709cca256,"public int redTicket(int a, int b, int c) {
    if (a == 2 && b == 2 && c == 2) {
        return 10;
    } else if (a == b && b == c) {
        return 5;
    } else if (a != b && a != c) {
        return 1;
    } else {
        return 0;
    }
}","Solve this coding assignment ""
Write a function in Java that implements the following logic: You have a red lottery ticket showing ints a, b, and c, each of which is 0, 1, or 2. If they are all the value 2, the result is 10. Otherwise if they are all the same, the result is 5. Otherwise so long as both b and c are different from a, the result is 1. Otherwise the result is 0.
public int redTicket(int a, int b, int c)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019.",2
d8ae6adb-ba23-485f-bedf-5f789cc62cb6,"public int redTicket(int a, int b, int c) {
    if (a == 2 && b == 2 && c == 2) {
        return 10;
    } else if (a == b && b == c) {
        return 5;
    } else if (b != a && c != a) {
        return 1;
    } else {
        return 0;
    }
}","Solve this ""
Write a function in Java that implements the following logic: You have a red lottery ticket showing ints a, b, and c, each of which is 0, 1, or 2. If they are all the value 2, the result is 10. Otherwise if they are all the same, the result is 5. Otherwise so long as both b and c are different from a, the result is 1. Otherwise the result is 0.
public int redTicket(int a, int b, int c)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
956b3260-66f7-4935-930b-156fe91858df,"public boolean isEverywhere(int[] nums, int val) {
    for (int i = 0; i < nums.length - 1; i++) {
        if (nums[i] != val && nums[i + 1] != val) {
            return false;
        }
    }
    return true;
}","Solve this coding assignment ""
We'll say that a value is ""everywhere"" in an array if for every pair of adjacent elements in the array, at least one of the pair is that value. Return true if the given value is everywhere in the array.
public boolean isEverywhere(int[] nums, int val)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019.",2
3a6599f8-76db-4509-8b19-124bf231dda9,"public int countCode(String str) {
    int count = 0;
    for (int i = 0; i <= str.length() - 4; i++) {
        if (str.substring(i, i + 2).equals(""co"") && str.charAt(i + 3) == 'e') {
            count++;
        }
    }
    return count;
}","Solve this ""
Write a function in Java that counts the number of times the string ""code"" appears anywhere in the given string str, except that we'll accept any letter in place of the 'd', so for example, ""cope"" and ""cooe"" count.
public int countCode(String str)
{
    
}

""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
cc9cc5a9-7a01-467f-a358-81f15d289b37,"public int centeredAverage(int[] nums) {
    Arrays.sort(nums);
    int sum = 0;
    for (int i = 1; i < nums.length - 1; i++) {
        sum += nums[i];
    }
    return sum / (nums.length - 2);
}","Solve this ""
Return the centered average of an array of ints, which we'll say is the mean average of the values, except ignoring the largest and smallest values in the array. If there are multiple copies of the smallest value, ignore just one copy, and likewise for the largest value. Use int division to produce the final average. You may assume that the array has a length of 3 or more.
public int centeredAverage(int[] nums)
{
    
}

""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
9ca704a8-1b12-4100-996b-d3ab860e3122,"public boolean isEverywhere(int[] nums, int val) {
    for (int i = 0; i < nums.length - 1; i++) {
        if (nums[i] != val && nums[i + 1] != val) {
            return false;
        }
    }
    return true;
}","Solve this ""
We'll say that a value is ""everywhere"" in an array if for every pair of adjacent elements in the array, at least one of the pair is that value. Return true if the given value is everywhere in the array.
public boolean isEverywhere(int[] nums, int val)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
f94af312-793f-4a32-8acc-43081ab9ee00,"public int countCode(String str) {
    int count = 0;
    for (int i = 0; i < str.length() - 3; i++) {
        if (str.substring(i, i + 2).equals(""co"") && str.charAt(i + 3) == 'e') {
            count++;
        }
    }
    return count;
}","Solve this ""
Write a function in Java that counts the number of times the string ""code"" appears anywhere in the given string str, except that we'll accept any letter in place of the 'd', so for example, ""cope"" and ""cooe"" count.
public int countCode(String str)
{
    
}

""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
e277c5e6-9147-425e-945d-3e95ffac0487,"public int caughtSpeeding(int speed, boolean isBirthday) {
    int speedLimitNoTicket = 60;
    int speedLimitSmallTicket = 80;
    
    if (isBirthday) {
        speedLimitNoTicket += 5;
        speedLimitSmallTicket += 5;
    }
    
    if (speed <= speedLimitNoTicket) {
        return 0;
    } else if (speed <= speedLimitSmallTicket) {
        return 1;
    } else {
        return 2;
    }
}","Solve this coding assignment ""
Write a function in Java that implements the following logic: You are driving a little too fast, and a police officer stops you. Write code to compute the result, encoded as an int value: 0=no ticket, 1=small ticket, or 2=big ticket. If speed is 60 or less, the result is 0. If speed is between 61 and 80 inclusive, the result is 1. If speed is 81 or more, the result is 2. Unless it is your birthday--on that day, your speed can be 5 higher in all cases.
public int caughtSpeeding(int speed, boolean isBirthday)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019.",2
