Code,ProblemID
"public int sortaSum(int a, int b)
{
    if ((a + b >= 10) && (a + b <= 19))
    {
        return false;
    }
    else
    {
        return true;
    }
}
",1
"public int sortaSum(int a, int b)
{
    if ((a + b >= 10) && (a + b <= 19))
    {
        return 20;
    }
    else
    {
        return a+b;
    }
}
",1
"public int sortaSum(int a, int b)
{
    if ((a + b >= 10) && (a + b <= 19))
    {
        return 20;
    }
    else
    {
        return a+b;
    }
}
",1
"public int sortaSum(int a, int b)
{
    if ((a + b >= 10) && (a + b <= 19))
    {
        return 20;
    }
    else
    {
        return a+b;
    }
}
",1
"public int sortaSum(int a, int b)
{
    if ((a + b >= 10) && (a + b <= 19))
    {
        return 20;
    }
    else
    {
        return a+b;
    }
}
",1
"public int sortaSum(int a, int b)
{
    if (a + b >= 10)
    {
        if (a + b <= 19)
        {
            return 20;
        }
        return a + b;
    }
    else
    {
        return a + b;
    }
}
",1
"public int sortaSum(int a, int b)
{
    if (a + b <= 10 && a + b >= 20)
        return 20;
    else
        return a + b;
}
",1
"public int sortaSum(int a, int b)
{
    if (a + b <= 10 && a + b >= 20)
        return 20;
    else
        return a + b;
}
",1
"public int sortaSum(int a, int b) {
		int sum = a + b;		
		return sum >= 10 && sum < 20 ? 20 : sum;
	}
",1
"public int sortaSum(int a, int b)
{
    if ((a + b >= 10) || (a + b <= 19))
    {
        return false;
    }
    else
    {
        return true;
    }
}
",1
"public int sortaSum(int a, int b)
{
    if ((a + b >= 10) || (a + b <= 19))
    {
        return false;
    }
    else
    {
        return true;
    }
}
",1
"public int sortaSum(int a, int b)
{
    if ((a + b >= 10) || (a + b <= 19))
    {
        return false;
    }
    else
    {
        return true;
    }
}
",1
"public int sortaSum(int a, int b)
{
    if ((a + b >= 10) || (a + b <= 19))
    {
        return false;
    }
    else
    {
        return true;
    }
}
",1
"public int sortaSum(int a, int b)
{
    if ((a + b >= 10) && (a + b <= 19))
    {
        return false;
    }
    else
    {
        return true;
    }
}
",1
"public int sortaSum(int a, int b)
{
    if ((a + b >= 10) && (a + b <= 19))
    {
        return false;
    }
    else
    {
        return true;
    }
}
",1
"public int sortaSum(int a, int b)
{
    if ((a + b >= 10) && (a + b <= 19))
    {
        return false;
    }
    else
    {
        return true;
    }
}
",1
"public int sortaSum(int a, int b)
{
    if (Math.abs(a + b >= 10 && a + b <= 19)
        {
            return 20;
        }
    else
        {
            return Math.abs(a + b);
        }
}
",1
"public int sortaSum(int a, int b)
{
    if (Math.abs(a + b >= 10 && a + b <= 19))
        {
            return 20;
        }
    else
        {
            return Math.abs(a + b);
        }
}
",1
"public int sortaSum(int a, int b)
{
    if (Math.abs(a + b >= 10 && a + b <= 19))
        {
            return 20;
        }
    else
        {
            return Math.abs(a + b);
        }
}
",1
"public int sortaSum(int a, int b)
{
    if (Math.abs(a + b >= 10 && a + b <= 19))
        {
            return 20;
        }
    else
        {
            return Math.abs(a + b);
        }
}
",1
"public int sortaSum(int a, int b)
{
    if (Math.abs(a + b >= 10) && Math.abs(a + b <= 19))
        {
            return 20;
        }
    else
        {
            return Math.abs(a + b);
        }
}
",1
"public int sortaSum(int a, int b)
{
    if (Math.abs(a + b >= 10) && Math.abs(a + b <= 19))
        {
            return 20;
        }
    else
        {
            return Math.abs(a + b);
        }
}
",1
"public int sortaSum(int a, int b)
{
    if (Math.abs(a + b >= 10) && Math.abs(a + b <= 19))
        {
            return 20;
        }
    else
        {
            return Math.abs(a + b);
        }
}
",1
"public int sortaSum(int a, int b) {
		int sum = a + b;		
		return sum >= 10 && sum < 20 ? 20 : sum;
	}
",1
"public int sortaSum(int a, int b)
{
    if(a + b < 10 || a + b > 19)
        return (a + b);
    return 20;
}
",1
"public int sortaSum(int a, int b)
{
    if(a + b < 10 || a + b > 19)
        return (a + b);
    return 20;
}
",1
"public int sortaSum(int a, int b)
{
    int sum = a + b;
    if ( a + b >= 10 && a + b <= 19 ) {
        return 20;
    }
    return sum;
}
",1
"public int sortaSum(int a, int b)
{
    int sum = a + b;
    if ( a + b >= 10 && a + b <= 19 ) {
        return 20;
    }
    return sum;
}
",1
"public int sortaSum(int a, int b)
{
    int sum = a + b;
    if ( sum >= 10 && sum <= 19 ) {
        return 20;
    }
    return sum;
}
",1
"public int sortaSum(int a, int b)
{
    int sum = a + b;
    if ( sum >= 10 && sum <= 19 ) {
        return 20;
    }
    return sum;
}
",1
"public int sortaSum(int a, int b)
{
    if (Math.abs(a + b >= 10 && a + b <= 19)
        {
            return 20;
        }
    else
        {
            return Math.abs(a + b);
        }
}
",1
"public int sortaSum(int a, int b)
{
    if (Math.abs(a + b >= 10 && a + b <= 19)
        {
            return 20;
        }
    else
        {
            return Math.abs(a + b);
        }
}
",1
"public int sortaSum(int a, int b)
{
    if (( a + b)<10)
    {
        return(( a + b)<10);
    }
    if (a+b)>=10 && (a=b)<=19)
    {
        return 20;
    }
        
}
",1
"public int sortaSum(int a, int b)
{
    if (( a + b)<10)
    {
        return(( a + b)<10);
    }
    if (a+b)>=10 && (a=b)<=19)
    {
        return 20;
    }
        
}
",1
"public int sortaSum(int a, int b)
{
    if (( a + b)<10)
    {
        return(( a + b)<10);
    }
    if ((a+b)>=10 && (a=b)<=19)
    {
        return 20;
    }
        
}
",1
"public int sortaSum(int a, int b)
{
    if (( a + b)<10)
    {
        return(( a + b)<10);
    }
    if ((a+b)>=10 && (a=b)<=19)
    {
        return 20;
    }
        
}
",1
"public int sortaSum(int a, int b)
{
    if (( a + b)<10)
    {
        return(( a + b)<10);
    }
    if ((a+b)>=10 && (a=b)<=19)
    {
        return 20;
    }
        
}
",1
"public int sortaSum(int a, int b)
{
    int (a+b) = sum
    if (sum)<10)
    {
        return sum;
    }
    if ((a+b)>=10 && (a=b)<=19)
    {
        return 20;
    }
        
}
",1
"public int sortaSum(int a, int b)
{
    int (a+b) = sum
    if (sum)<10)
    {
        return sum;
    }
    if ((a+b)>=10 && (a=b)<=19)
    {
        return 20;
    }
        
}
",1
"public int sortaSum(int a, int b)
{
    int (a+b) = sum
    if (sum)<10)
    {
        return sum;
    }
    if ((a+b)>=10 && (a=b)<=19)
    {
        return 20;
    }
        
}
",1
"public int sortaSum(int a, int b)
{
    int sum = a + b;
    if (sum < 10)
    {
    	return sum;
    }
    else if (sum > 19)
    {
    	return sum;
    }
    else
    {
    	return 20;
    }
}
",1
"public int sortaSum(int a, int b)
{
    int sum = a + b;
    if (sum < 10)
    {
    	return sum;
    }
    else if (sum > 19)
    {
    	return sum;
    }
    else
    {
    	return 20;
    }
}
",1
"public int sortaSum(int a, int b)
{
    if (( a + b)<10)
    {
        return(( a + b)<10);
    }
    if (((a+b)>=10) && ((a=b)<=19)))
    {
        return 20;
    }
        
}
",1
