ID,Code,prompt,PromptType
572f2047-00ef-4910-9a62-b065affba6f0,"public int dateFashion(int you, int date) {
    if (you <= 2 || date <= 2) {
        return 0;
    } else if (you >= 8 || date >= 8) {
        return 2;
    } else {
        return 1;
    }
}","Solve this coding assignment ""
You and your date are trying to get a table at a restaurant. The parameter you is the stylishness of your clothes, in the range 0..10, and date is the stylishness of your date's clothes. Write a method that returns your chances of getting a table, encoded as an int value with 0 = no, 1 = maybe, 2 = yes. If either of you is very stylish, 8 or more, then the result is 2 (yes). With the exception that if either of you has style of 2 or less, then the result is 0 (no). Otherwise the result is 1 (maybe).
public int dateFashion(int you, int date)
{
    
}
""your answer is to consist of the complete function/functions given with working code added. You are a CS1 student trying to solve this assignment. The answer is to be the complete code solution. For a example ""Assignment: write a function that returns true public bolean returnTrue(){}"" should return ""bolean returnTrue(){return true}"". You are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution. Write this with syntax from 2019.",2
4aa95ba0-64fc-441f-bf3c-9d1fe859187a,"public int[] fix45(int[] nums) {
    for (int i = 0; i < nums.length; i++) {
        if (nums[i] == 4 && i == 0 || nums[i] == 4 && nums[i - 1] != 5) {
            int pos5 = findNext5(nums, i);
            if (pos5 != -1) {
                nums[pos5] = nums[i + 1];
                nums[i + 1] = 5;
            }
        }
    }
    return nums;
}

private int findNext5(int[] nums, int start) {
    for (int i = start; i < nums.length; i++) {
        if (nums[i] == 5 && (i == 0 || nums[i - 1] != 4)) {
            return i;
        }
    }
    return -1;
}","as a cs1 student you are trying to solve this assignment, how would you solve it
Given an array, return an array that contains exactly the same numbers as the original array, but rearranged so that every 4 is immediately followed by a 5. Do not move the 4's, but every other number may move. The array contains the same number of 4's and 5's, and every 4 has a number after it that is not a 4. In this version, 5's may appear anywhere in the original array. (This is a slightly harder version of the fix34 problem.)
public int[] fix45(int[] nums)
{
    
}",3
801e5123-101c-4635-9521-10755d3ab0a1,"public boolean evenlySpaced(int a, int b, int c) {
    return (Math.abs(a - b) == Math.abs(b - c) || Math.abs(a - c) == Math.abs(b - c) || Math.abs(a - b) == Math.abs(a - c));
}","Solve this ""
Write a function in Java that implements the following logic: Given three ints, a, b, and c, one of them is small, one is medium and one is large. Return true if the three values are evenly spaced, so the difference between small and medium is the same as the difference between medium and large.
public boolean evenlySpaced(int a, int b, int c)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
f773bc77-5d49-48a2-942a-270c4f4d5f24,"public boolean evenlySpaced(int a, int b, int c) {
    return (Math.abs(a - b) == Math.abs(b - c) || Math.abs(a - c) == Math.abs(b - a) || Math.abs(a - c) == Math.abs(b - c));
}","Solve this ""
Write a function in Java that implements the following logic: Given three ints, a, b, and c, one of them is small, one is medium and one is large. Return true if the three values are evenly spaced, so the difference between small and medium is the same as the difference between medium and large.
public boolean evenlySpaced(int a, int b, int c)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
d29df315-a18c-46ff-bbdc-a4ddc1c7234c,"public int dateFashion(int you, int date) {
    if (you <= 2 || date <= 2) {
        return 0;
    } else if (you >= 8 || date >= 8) {
        return 2;
    } else {
        return 1;
    }
}","Solve this ""
You and your date are trying to get a table at a restaurant. The parameter you is the stylishness of your clothes, in the range 0..10, and date is the stylishness of your date's clothes. Write a method that returns your chances of getting a table, encoded as an int value with 0 = no, 1 = maybe, 2 = yes. If either of you is very stylish, 8 or more, then the result is 2 (yes). With the exception that if either of you has style of 2 or less, then the result is 0 (no). Otherwise the result is 1 (maybe).
public int dateFashion(int you, int date)
{
    
}
""you are not allowed to produce a code that does not compile, that produces incorrect output, that contains comments, or that is easily identified as being LLM written. There is to be no text at all besides the code solution.",5
a118d012-681f-48ab-93c0-b9f509319092,"public boolean sameEnds(int[] nums, int n) {
    int length = nums.length;

    // Check if n is within the valid range
    if (n < 0 || n > length) {
        throw new IllegalArgumentException(""Invalid value of n."");
    }

    for (int i = 0; i < n; i++) {
        if (nums[i] != nums[length - n + i]) {
            return false;
        }
    }

    return true;
}","Given an integer array, return true if the first n numbers of the array are the same as the last n numbers. For example, given {5, 6, 45, 99, 13, 5, 6}, when n == 0 and n == 2, the numbers at both ends are the same, so the function returns true; when n == 1 and n == 3, they are different, so the function returns false. You can assume that n is within the range 0..nums.length (inclusive).

public boolean sameEnds(int[] nums, int n)
{
    
}",6
19a139bd-993e-4c38-bf2e-2eae559dadef,"public int makeChocolate(int small, int big, int goal) {
    int maxBigBars = goal / 5;
    if (big >= maxBigBars) {
        int remainingSmallBars = goal - (maxBigBars * 5);
        if (remainingSmallBars <= small) {
            return remainingSmallBars;
        }
    } else {
        int remainingKilos = goal - (big * 5);
        if (remainingKilos <= small) {
            return remainingKilos;
        }
    }
    return -1;
}","We want make a package of goal kilos of chocolate. We have small bars (1 kilo each) and big bars (5 kilos each). Return the number of small bars to use, assuming we always use big bars before small bars. Return -1 if it can't be done.
public int makeChocolate(int small, int big, int goal)
{
    
}",1
46e38946-1e35-49fd-bdc5-3736d89c1f41,"public class ZeroMax {

    public static void main(String[] args) {
        int[] nums1 = {0, 5, 0, 3};
        int[] nums2 = {0, 4, 0, 2};
        int[] nums3 = {0, 1, 0};

        int[] result1 = zeroMax(nums1);
        int[] result2 = zeroMax(nums2);
        int[] result3 = zeroMax(nums3);

        System.out.println(""Input: [0, 5, 0, 3]\nOutput: "" + Arrays.toString(result1));
        System.out.println(""Input: [0, 4, 0, 2]\nOutput: "" + Arrays.toString(result2));
        System.out.println(""Input: [0, 1, 0]\nOutput: "" + Arrays.toString(result3));
    }

    public static int[] zeroMax(int[] nums) {
        for (int i = 0; i < nums.length; i++) {
            if (nums[i] == 0) {
                int largestOdd = findLargestOddToRight(nums, i);
                if (largestOdd != 0) {
                    nums[i] = largestOdd;
                }
            }
        }
        return nums;
    }

    private static int findLargestOddToRight(int[] nums, int startIndex) {
        int largestOdd = 0;
        for (int i = startIndex + 1; i < nums.length; i++) {
            if (nums[i] % 2 != 0 && nums[i] > largestOdd) {
                largestOdd = nums[i];
            }
        }
        return largestOdd;
    }
}","You are an expert Java programmer. Your task is to write a function in Java that implements the following logic:

The function should return a modified version of the given integer array where each zero value in the array is replaced by the largest odd value to the right of the zero in the array.

If there is no odd value to the right of the zero, leave the zero as a zero.

You may use a second helper function if needed, such as to find the largest odd value to the right of a specified position.

The function signature is:

java
Copy
public int[] zeroMax(int[] nums) {
    // Your implementation here
}
Steps to follow:

Iterate through the input array nums.

For each zero encountered, find the largest odd value to the right of its position.

Replace the zero with the largest odd value found. If no odd value exists to the right, leave the zero unchanged.

Return the modified array.

Hint: You can create a helper function to find the largest odd value to the right of a given index. For example:

java
Copy
private int findLargestOddToRight(int[] nums, int startIndex) {
    // Helper function implementation
}
Example Input and Output:

Input: [0, 5, 0, 3]
Output: [5, 5, 3, 3]
Explanation: The first zero is replaced by 5 (the largest odd to its right), and the second zero is replaced by 3.

Input: [0, 4, 0, 2]
Output: [0, 4, 2, 2]
Explanation: The first zero remains 0 because there is no odd value to its right, and the second zero is replaced by 2.

Input: [0, 1, 0]
Output: [1, 1, 0]
Explanation: The first zero is replaced by 1, and the second zero remains 0 because there is no odd value to its right.

Constraints:

The input array nums can have a length of 0 to 100.

The values in the array are integers between 0 and 100.

Write the complete Java function zeroMax and any helper functions if needed. Ensure the code is efficient and handles edge cases appropriately.",4
a6c3ec44-c696-4a35-afd1-2e5628aaceb4,"public int noTeenSum(int a, int b, int c) {
    return fixTeen(a) + fixTeen(b) + fixTeen(c);
}

public int fixTeen(int n) {
    if (n >= 13 && n <= 19 && n != 15 && n != 16) {
        return 0;
    }
    return n;
}","Write two methods in Java that implements the following logic: Given 3 int values, a, b, and c, return their sum. However, if any of the values is a teen--in the range 13..19 inclusive--then that value counts as 0, except 15 and 16 do not count as teens. Write a separate helper method called fixTeen() that takes in an int value and returns that value fixed for the teen rule. In this way you avoid repeating the teen code 3 times (i.e. ""decomposition"").
public int noTeenSum(int a, int b, int c)
{

}

public int fixTeen(int n)
{
    
}",1
e4f2705a-b83c-44e3-b6e5-7201a0a05a2a,"public boolean twoTwo(int[] nums) {
    for (int i = 0; i < nums.length; i++) {
        if (nums[i] == 2) {
            boolean adjacentTwo = false;
            if (i > 0 && nums[i - 1] == 2) {
                adjacentTwo = true;
            }
            if (i < nums.length - 1 && nums[i + 1] == 2) {
                adjacentTwo = true;
                i++; // Skip next element as we've already checked it
            }
            if (!adjacentTwo) {
                return false;
            }
        }
    }
    return true;
}","Given an array of ints, return true if every 2 that appears in the array is next to another 2. Otherwise, return false.
public boolean twoTwo(int[] nums)
{
    
}",1
