ID,Code
e22ce5e6a4c5b1b12e61c7366855f779f8ae64f3,"public String atFirst(String str)
{
    if (str.length() >= 2)
    {
        return (str.substring(0, 2));
    }
    else if (str.length() == 1)
    {
        return str + ""@"";
    }
    else
    {
        return ""@@"";
    }
}
"
e6bc542b9cbf8d3396f467974901e047732726e6,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    if(isAsleep)
		return false;
	else if(isMom)
		return true;
	else
        return (!isMorning);
}
"
6a623e78b320858b018881a4c447f0285bde0276,"public int[] tenRun(int[] nums)
{
    for (int i = 0; i < nums.length; i++)
    {
        if (nums[i] % 10 == 0)
        {
            int temp = nums[i];
            while (nums[i+1] % 10 != 0 || i == nums.length)
            {
                nums[i] = temp;
                i++;
            }
        }
    }
    return nums;
}"
8fbe824c07a0c60e9dd2fa062bd84e306d76c88c,"public String without2(String str) 
{
    String twoWord = str.substring(0, 2);
    String lastTwo = str.substring(str.length()-2);
	if (twoWord.equals(lastTwo))
	{
		String finalWord = str.substring(2);
        return finalWord;
    }
	else
    {
    	return str;
    }
}
"
9bc3a119f59f9e9cdc15dde381264789b4b635fc,"public boolean has77(int[] nums)
{
    Boolean has77 = false;
   	for (int i = 0; i < nums.length - 1; i++)
    {
        if (nums[i] == 7 && nums[i + 1] == 7)
        {
            has77 = true;
        }
        else if (nums[i] == 7 && nums[i + 2] == 7 && i < nums.length - 2)
        {
            has77 = true;
        }
    }
    return has77;
}
"
0294a8f6bb1a1e083b987b4340006b744cb04faf,"public int loneSum(int a, int b, int c)
{
    int sum = 0;
    if (a != b && b!= c)
    {
    	sum = a + b + c;
        return sum;        
    }
    else if (a == b && b != c)
    {
    	sum = c;
        return sum;
    }
    else if (a != b && b == c)
    {
    	sum = a;
        return sum;
    }
    else
    {
    	sum = 0;
        return sum;
    }
}
"
5ba8867472a774992529ec0efdd84c077603594d,"public int greenTicket(int a, int b, int c)
{
    if (a == b && b == c)
        return 20;
    if (a == b || a == c || b == c)
        return 10;
    else
        return 0;
}
"
bb95327d0292272d65dd996e6aa6f61c87319399,"public boolean endOther(String a, String b)
{
    if a.length() == ""a"" + ""b""
        return b.substring(0,1).toLowerCase();
}
"
6444f8451aaabdd9f32be8f2e971ce6f586814d1,"    public static int countCode( String str )
    {
        int count = 0;

        for ( int i = 0; i < str.length() - 3; i++ )
        {
            if ( ""co"".equals( str.substring( i, i + 2 ) ) )
            {
                if ( str.charAt( i + 3 ) == 'e' )
                {
                    count++;
                }
            }
        }

        return count;
    }"
